mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2795263,974900.0,3.0,2.0,"20575 Westfield Ave, Maple Ridge, BC, Canada",1848.0,6.0,4499.0,532.0,1935.0,SingleFamily,06/07/2023,2023-07-04,984900.0,49.2103382,-122.6526921,"Westfield Avenue, Port Hammond, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 8G1, Canada"
R2788972,474000.0,1.0,1.0,"11580 223St, Maple Ridge, BC, Canada",696.0,1.0,2028.0,688.0,2014.0,Condo,06/07/2023,2023-06-14,479000.0,,,
R2793935,1310000.0,6.0,3.0,"25717 124 Ave, Maple Ridge, BC, Canada",2936.0,8.0,3794.0,476.0,1973.0,SingleFamily,06/07/2023,2023-06-29,1399000.0,49.2277421,-122.5349178,"124 Avenue, Maple Ridge, Metro Vancouver Regional District, British Columbia, V4R 1X2, Canada"
R2791067,750000.0,3.0,2.0,"23085 118 Ave, Maple Ridge, BC, Canada",1508.0,2.0,3545.0,497.0,1999.0,Townhouse,06/07/2023,2023-06-18,750000.0,49.21671,-122.5753517,"118 Avenue, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 3L8, Canada"
R2794653,449900.0,1.0,1.0,"12283 224St, Maple Ridge, BC, Canada",653.0,1.0,1949.0,688.0,2008.0,Condo,05/07/2023,2023-07-03,449900.0,,,
R2788410,925000.0,3.0,2.0,"13260 236St, Maple Ridge, BC, Canada",1712.0,4.0,3516.0,538.0,2018.0,Townhouse,05/07/2023,2023-06-13,922700.0,,,
R2783546,1645000.0,4.0,2.0,"13363 233St, Maple Ridge, BC, Canada",2860.0,8.0,6812.0,586.0,2004.0,SingleFamily,05/07/2023,2023-05-30,1678000.0,,,
R2779302,330000.0,2.0,1.0,"12170 222St, Maple Ridge, BC, Canada",940.0,1.0,1476.0,360.0,1976.0,Condo,05/07/2023,2023-05-22,339000.0,,,
R2785206,1188000.0,4.0,3.0,"11497 236St, Maple Ridge, BC, Canada",3498.0,4.0,4510.0,339.0,2005.0,SingleFamily,04/07/2023,2023-06-04,1188000.0,,,
R2793044,850100.0,3.0,2.0,"23085 118 Ave, Maple Ridge, BC, Canada",1511.0,3.0,3242.0,512.0,1997.0,Townhouse,04/07/2023,2023-06-25,775000.0,49.21671,-122.5753517,"118 Avenue, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 3L8, Canada"
