mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2865245,1440000.0,5.0,3.0,"12370 188a St, Pitt Meadows, BC, Canada",2246.0,4.0,5176.0,658.0,1989.0,SingleFamily,22/04/2024,2024-03-31,1480000.0,49.2208622,-122.6998061,"188A Street, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 1J5, Canada"
R2874156,1150000.0,3.0,2.0,"19452 Fraser Way, Pitt Meadows, BC, Canada",1829.0,4.0,5554.0,645.0,2006.0,Townhouse,22/04/2024,2024-04-22,1180000.0,49.2028045,-122.6784937,"Fraser Way, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 0B9, Canada"
R2870716,1576000.0,6.0,4.0,"11640 Harris Rd, Pitt Meadows, BC, Canada",3303.0,5.0,5699.0,481.0,1999.0,SingleFamily,21/04/2024,2024-04-14,1588888.0,49.2310176,-122.6895213,"Harris Road, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2B0, Canada"
R2869054,1240000.0,4.0,2.0,"19488 116b Ave, Pitt Meadows, BC, Canada",2012.0,8.0,6409.0,621.0,1987.0,SingleFamily,20/04/2024,2024-04-09,1250000.0,49.214716,-122.6871721,"116B Avenue, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 1G1, Canada"
R2857383,680000.0,2.0,2.0,"19060 Ford Rd, Pitt Meadows, BC, Canada",1342.0,2.0,3178.0,483.0,1992.0,Townhouse,20/04/2024,2024-03-10,649000.0,49.2225085,-122.7514286,"Ford Road, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 1Z1, Canada"
R2872404,675000.0,2.0,2.0,"19060 Ford Rd, Pitt Meadows, BC, Canada",1345.0,3.0,3223.0,504.0,1992.0,Townhouse,18/04/2024,2024-04-17,678800.0,49.2225085,-122.7514286,"Ford Road, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 1Z1, Canada"
R2867975,835000.0,3.0,2.0,"19696 Hammond Rd, Pitt Meadows, BC, Canada",1101.0,2.0,3300.0,771.0,2020.0,Townhouse,17/04/2024,2024-04-07,849900.0,49.2171996,-122.673677,"Hammond Road, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2W1, Canada"
R2867108,910000.0,3.0,2.0,"19252 119 Ave, Pitt Meadows, BC, Canada",1915.0,2.0,3259.0,463.0,1990.0,Townhouse,15/04/2024,2024-04-04,888000.0,49.2188296,-122.6826435,"119 Avenue, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 1G1, Canada"
R2868726,525000.0,1.0,1.0,"12079 Harris Rd, Pitt Meadows, BC, Canada",768.0,1.0,2598.0,701.0,2010.0,Condo,14/04/2024,2024-04-08,539000.0,49.2310176,-122.6895213,"Harris Road, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2B0, Canada"
R2866825,1549000.0,5.0,3.0,"18850 122b Ave, Pitt Meadows, BC, Canada",2633.0,6.0,5685.0,592.0,1991.0,SingleFamily,14/04/2024,2024-04-04,1560000.0,49.2251695,-122.6976711,"122B Avenue, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 1J5, Canada"
