,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
585,"11735 74b Ave, Delta, BC",5,2,2533 sqft,,3,"$4,093",1972,R2801672,Residential,No,,$548,22/10/2023,"$1,095,000",24/07/2023,"$1,390,000",Single Family Residence
586,"5346 Belair Dr, Delta, BC",5,2,2610 sqft,,5,"$4,652",1968,R2813417,Residential,Yes,,$535,22/10/2023,"$1,349,000",07/09/2023,"$1,398,888",Single Family Residence
587,"11362 89 Ave, Delta, BC",4,2,1915 sqft,,0,"$4,603",1969,R2825778,Residential,Yes,,$678,22/10/2023,"$1,275,000",17/10/2023,"$1,299,999",Single Family Residence
588,"8735 Delcrest Dr, Delta, BC",4,1,1926 sqft,,8,"$4,425",1973,R2825620,Residential,No,,$622,22/10/2023,"$1,311,000",16/10/2023,"$1,199,000",Single Family Residence
589,"1630 Duncan Dr, Delta, BC",4,4,3082 sqft,,6,"$4,894",2023,R2822445,Residential,Yes,,$908,22/10/2023,"$2,700,000",05/10/2023,"$2,799,000",Single Family Residence
590,"112 - 4768 53 St, Delta, BC",2,2,953 sqft,,1,"$1,893",1995,R2823237,Residential,Yes,,$628,22/10/2023,"$598,000",09/10/2023,"$599,000",Apartment/Condominium
591,"11776 95a Ave, Delta, BC",5,2,2551 sqft,,0,"$4,318",1968,R2819104,Residential,No,,$503,21/10/2023,"$1,185,000",25/09/2023,"$1,285,000",Single Family Residence
592,"11145 Monroe Dr, Delta, BC",3,2,2158 sqft,,5,"$4,193",1979,R2815228,Residential,Yes,,$601,21/10/2023,"$1,315,000",11/09/2023,"$1,299,000",Single Family Residence
593,"5640 Abbey Dr, Delta, BC",4,3,2368 sqft,,8,"$4,379",1968,R2825520,Residential,Yes,,$675,21/10/2023,"$1,610,000",15/10/2023,"$1,599,000",Single Family Residence
594,"1209 - 11967 80 Ave, Delta, BC",2,1,576 sqft,,1,"$1,618",2017,R2824622,Residential,Yes,,$953,21/10/2023,"$535,000",16/10/2023,"$549,000",Apartment/Condominium
595,"5284 3 Ave, Delta, BC",4,3,2262 sqft,,6,"$5,914",1973,R2824868,Residential,Yes,,$795,21/10/2023,"$1,780,000",15/10/2023,"$1,799,000",Single Family Residence
596,"5011 57 St, Delta, BC",3,1,1573 sqft,,1,"$2,690",1978,R2824916,Residential,No,,$565,21/10/2023,"$928,000",15/10/2023,"$889,000",Townhouse
597,"202 - 4738 53 St, Delta, BC",1,1,834 sqft,,1,"$1,684",1991,R2826591,Residential,Yes,,$659,20/10/2023,"$550,000",19/10/2023,"$549,999",Apartment/Condominium
598,"1002 - 11920 80 Ave, Delta, BC",2,2,1251 sqft,,1,"$1,741",1990,R2822045,Residential,Yes,,$475,20/10/2023,"$562,500",03/10/2023,"$595,000",Apartment/Condominium
599,"27 - 4756 62 St, Delta, BC",3,2,1808 sqft,,4,"$4,027",1991,R2808841,Residential,Yes,,$660,20/10/2023,"$1,160,000",21/08/2023,"$1,195,000",Single Family Residence
