,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
638,"43 - 10051 Swinton Cres, Richmond, BC",2,1,1124 sqft,,1,"$1,912",1971,R2863826,Residential,No,,$638,09/04/2024,"$708,000",27/03/2024,"$718,000",Townhouse
639,"909 - 3398 Ketcheson Rd, Richmond, BC",2,1,740 sqft,,1,,2026,R2869757,Residential,Yes,,"$1,229",09/04/2024,"$910,000",07/04/2024,"$910,000",Apartment/Condominium
640,"212 - 8900 Citation Dr, Richmond, BC",1,1,658 sqft,,1,"$1,092",1980,R2856351,Residential,Yes,,$650,09/04/2024,"$428,000",05/03/2024,"$428,000",Apartment/Condominium
641,"10251 Shell Rd, Richmond, BC",5,4,3507 sqft,,4,"$8,007",2019,R2859966,Residential,Yes,,$855,09/04/2024,"$2,930,000",14/03/2024,"$2,999,000",Single Family Residence
642,"9706 Kilby Dr, Richmond, BC",5,4,2830 sqft,,4,"$5,114",1989,R2864903,Residential,Yes,,$699,09/04/2024,"$1,900,800",28/03/2024,"$1,980,000",Single Family Residence
643,"612 - 8033 Saba Rd, Richmond, BC",0,1,405 sqft,,1,"$1,121",2010,R2865213,Residential,Yes,,"$1,108",08/04/2024,"$447,500",01/04/2024,"$449,000",Apartment/Condominium
644,"8940 Bairdmore Cres, Richmond, BC",4,1,1100 sqft,,2,"$5,325",1956,R2834922,Residential,No,,"$1,907",08/04/2024,"$2,000,000",26/11/2023,"$2,098,000",Single Family Residence
645,"302 - 8600 Park Rd, Richmond, BC",1,1,769 sqft,,1,"$1,804",2011,R2866256,Residential,Yes,,$843,08/04/2024,"$630,000",01/04/2024,"$648,800",Apartment/Condominium
646,"44 - 6300 Birch St, Richmond, BC",3,2,1645 sqft,,2,"$3,743",2004,R2866396,Residential,Yes,,$831,08/04/2024,"$1,375,000",02/04/2024,"$1,368,000",Townhouse
647,"310 - 5500 Lynas Lane, Richmond, BC",2,2,806 sqft,,2,"$1,749",1995,R2864832,Residential,Yes,,$841,08/04/2024,"$716,000",01/04/2024,"$678,000",Apartment/Condominium
648,"31 - 7180 Lechow St, Richmond, BC",4,3,1507 sqft,,2,"$4,214",2020,R2865219,Residential,Yes,,$982,08/04/2024,"$1,500,000",01/04/2024,"$1,480,000",Townhouse
649,"5508 Williams Rd, Richmond, BC",4,3,1503 sqft,,2,"$4,369",2024,R2856620,Residential,Yes,,"$1,063",08/04/2024,"$1,570,000",05/03/2024,"$1,599,000",Multi Family
650,"404 - 4280 Moncton St, Richmond, BC",2,2,894 sqft,,1,"$2,244",2005,R2866764,Residential,Yes,,$994,08/04/2024,"$870,000",03/04/2024,"$888,800",Apartment/Condominium
651,"1501 - 6833 Buswell St, Richmond, BC",1,1,589 sqft,,1,"$1,991",2022,R2868635,Residential,Yes,,"$1,203",08/04/2024,"$708,800",02/04/2024,"$708,800",Apartment/Condominium
652,"904 - 6833 Pearson Way, Richmond, BC",1,1,640 sqft,,1,$920,2023,R2835839,Residential,Yes,,"$1,498",08/04/2024,"$950,000",30/11/2023,"$958,800",Apartment/Condominium
653,"1101 - 7380 Elmbridge Way, Richmond, BC",2,2,920 sqft,,1,"$1,819",1996,R2865229,Residential,Yes,,$650,08/04/2024,"$645,000",01/04/2024,"$598,800",Apartment/Condominium
654,"1000 - 7680 Granville Ave, Richmond, BC",3,2,1254 sqft,,0,"$2,436",1997,R2865350,Residential,Yes,,$781,08/04/2024,"$950,000",01/04/2024,"$980,000",Apartment/Condominium
