,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
82,"1803 - 13750 100 Avenue, Surrey, BC",1,1,538 sqft,,1,"$1,970",2017,R2885990,Residential,Yes,,$994,17/06/2024,"$510,000",20/05/2024,"$535,000",Apartment/Condominium
83,"9 - 7518 138 Street, Surrey, BC",3,2,2017 sqft,,2,"$3,347",2006,R2878598,Residential,Yes,,$470,17/06/2024,"$930,057",06/05/2024,"$949,900",Townhouse
84,"4 - 7090 180 Street, Surrey, BC",4,3,1951 sqft,,2,"$3,261",2012,R2892367,Residential,Yes,,$460,17/06/2024,"$930,000",09/06/2024,"$899,000",Townhouse
85,"14148 68 Avenue, Surrey, BC",11,7,5705 sqft,,0,"$7,877",2020,R2891358,Residential,Yes,,$403,17/06/2024,"$2,035,000",05/06/2024,"$2,299,999",Single Family Residence
86,"7915 144 A Street, Surrey, BC",6,4,4460 sqft,,10,"$6,264",1992,R2891813,Residential,Yes,,$515,17/06/2024,"$2,029,000",05/06/2024,"$2,299,000",Single Family Residence
87,"157 - 14150 58 A Avenue, Surrey, BC",3,2,1267 sqft,,2,,2024,R2895875,Residential,Yes,,$678,17/06/2024,"$859,900",15/06/2024,"$859,900",Townhouse
88,"204 - 15336 17 A Avenue, Surrey, BC",2,2,976 sqft,,1,"$2,551",2012,R2885802,Residential,Yes,,$768,17/06/2024,"$730,000",22/05/2024,"$749,900",Apartment/Condominium
89,"2509 - 13325 102 A Avenue, Surrey, BC",1,1,631 sqft,,1,"$1,796",2013,R2890674,Residential,Yes,,$711,17/06/2024,"$426,500",02/06/2024,"$449,000",Apartment/Condominium
90,"12684 70 A Avenue, Surrey, BC",8,6,4195 sqft,,11,"$6,647",1992,R2893985,Residential,Yes,,$450,17/06/2024,"$1,755,000",11/06/2024,"$1,889,000",Single Family Residence
91,"5 - 16228 16 Avenue, Surrey, BC",4,3,1670 sqft,,2,"$3,302",2012,R2881409,Residential,Yes,,$508,17/06/2024,"$835,000",08/05/2024,"$848,888",Townhouse
92,"533 - 13968 Laurel Drive, Surrey, BC",1,1,532 sqft,,1,,2024,R2893815,Residential,Yes,,$750,17/06/2024,"$436,000",09/06/2024,"$399,000",Apartment/Condominium
93,"69 - 15353 100 Avenue, Surrey, BC",3,2,1254 sqft,,2,"$2,562",2005,R2882325,Residential,Yes,,$557,17/06/2024,"$730,000",14/05/2024,"$699,000",Townhouse
94,"220 - 7156 121 Street, Surrey, BC",2,2,1480 sqft,,1,"$2,077",1988,R2890760,Residential,No,,$412,17/06/2024,"$600,000",04/06/2024,"$610,000",Townhouse
95,"6225 152 A Street, Surrey, BC",3,2,1943 sqft,,10,"$5,368",1980,R2888729,Residential,Yes,,$874,17/06/2024,"$1,650,000",29/05/2024,"$1,699,999",Single Family Residence
96,"80 - 7233 189 Street, Surrey, BC",2,1,1199 sqft,,2,"$2,464",2009,R2894356,Residential,Yes,,$583,17/06/2024,"$735,000",12/06/2024,"$699,900",Townhouse
97,"203 - 13383 108 Avenue, Surrey, BC",1,1,825 sqft,,1,"$1,876",1994,R2892629,Residential,Yes,,$483,17/06/2024,"$470,000",09/06/2024,"$399,000",Apartment/Condominium
98,"19498 72 Avenue, Surrey, BC",6,4,3075 sqft,,4,"$5,755",2010,R2891137,Residential,Yes,,$486,17/06/2024,"$1,475,000",06/06/2024,"$1,495,000",Single Family Residence
99,"53 - 17557 100 Avenue, Surrey, BC",4,3,1918 sqft,,2,"$3,454",2021,R2872594,Residential,Yes,,$521,17/06/2024,"$995,000",16/04/2024,"$999,999",Townhouse
100,"506 - 13883 Laurel Drive, Surrey, BC",1,1,422 sqft,,1,"$1,559",2013,R2880540,Residential,Yes,,$888,17/06/2024,"$375,000",05/05/2024,"$374,900",Apartment/Condominium
101,"201 - 9310 King George Boulevard, Surrey, BC",3,2,1831 sqft,,2,"$2,754",1994,R2895296,Residential,Yes,,$382,17/06/2024,"$700,000",16/06/2024,"$700,000",Townhouse
102,"11 - 13864 Hyland Road, Surrey, BC",3,2,1408 sqft,,2,"$2,759",2013,R2888060,Residential,Yes,,$600,17/06/2024,"$820,000",28/05/2024,"$845,000",Townhouse
103,"401 - 1685 152 A Street, Surrey, BC",2,2,1017 sqft,,1,"$2,200",2002,R2887557,Residential,Yes,,$589,16/06/2024,"$580,000",28/05/2024,"$599,999",Apartment/Condominium
104,"1804 - 13685 102 Avenue, Surrey, BC",1,1,463 sqft,,1,"$1,882",2022,R2892913,Residential,Yes,,$863,16/06/2024,"$465,000",09/06/2024,"$399,999",Apartment/Condominium
105,"3520 154 Street, Surrey, BC",6,3,3787 sqft,,4,"$5,996",2002,R2892939,Residential,Yes,,$475,16/06/2024,"$1,988,000",09/06/2024,"$1,799,000",Single Family Residence
106,"14952 95 A Avenue, Surrey, BC",3,2,1520 sqft,,4,"$4,904",1981,R2894267,Residential,Yes,,$854,16/06/2024,"$1,350,000",11/06/2024,"$1,299,000",Single Family Residence
107,"79 - 16678 25 Avenue, Surrey, BC",4,3,1559 sqft,,2,"$3,134",2019,R2890693,Residential,Yes,,$641,16/06/2024,"$967,000",03/06/2024,"$999,900",Townhouse
108,"12258 82 Avenue, Surrey, BC",4,1,1560 sqft,,2,"$4,105",1980,R2890851,Residential,No,,$735,16/06/2024,"$1,100,000",03/06/2024,"$1,148,000",Single Family Residence
109,"7478 149 Street, Surrey, BC",9,6,5527 sqft,,8,"$8,161",2007,R2889232,Residential,Yes,,$443,16/06/2024,"$2,437,500",30/05/2024,"$2,449,900",Single Family Residence
110,"114 - 2853 Helc Place, Surrey, BC",4,3,2075 sqft,,2,"$3,746",2016,R2890371,Residential,Yes,,$558,16/06/2024,"$1,110,000",03/06/2024,"$1,159,900",Townhouse
111,"1501 - 13688 100 Avenue, Surrey, BC",1,1,544 sqft,,1,"$1,776",2011,R2890118,Residential,Yes,,$843,16/06/2024,"$459,000",02/06/2024,"$459,000",Apartment/Condominium
112,"135 - 13706 67 Avenue, Surrey, BC",3,1,1115 sqft,,1,"$2,611",1979,R2877202,Residential,No,,$627,16/06/2024,"$693,000",29/04/2024,"$699,900",Townhouse
113,"1010 - 10777 University Drive, Surrey, BC",1,1,570 sqft,,1,"$1,768",2010,R2885753,Residential,Yes,,$700,16/06/2024,"$405,000",21/05/2024,"$399,500",Apartment/Condominium
114,"3 - 2780 150 Street, Surrey, BC",2,2,1639 sqft,,2,"$3,892",2001,R2886775,Residential,Yes,,$652,16/06/2024,"$1,059,000",03/06/2024,"$1,069,000",Townhouse
