,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
112,"19510 Hoffmann Way, Pitt Meadows, BC",3,2,2518 sqft,,4,"$5,415",2006,R2812050,Residential,Yes,,$573,24/01/2024,"$1,410,000",04/09/2023,"$1,445,000",Single Family Residence
113,"114 - 12565 190a St, Pitt Meadows, BC",2,2,939 sqft,,2,"$3,117",2013,R2835425,Residential,Yes,,$712,23/01/2024,"$649,500",27/11/2023,"$669,000",Apartment/Condominium
114,"128 - 19451 Sutton Ave, Pitt Meadows, BC",4,3,1916 sqft,,2,,2023,R2842768,Residential,Yes,,$574,21/01/2024,"$1,099,900",17/01/2024,"$1,099,900",Townhouse
115,"103 - 19091 Mcmyn Rd, Pitt Meadows, BC",2,2,964 sqft,,2,"$2,607",1998,R2836581,Residential,Yes,,$622,21/01/2024,"$595,000",05/12/2023,"$600,000",Apartment/Condominium
116,"11241 Tully Cres, Pitt Meadows, BC",4,2,2798 sqft,,4,"$5,846",2004,R2842074,Residential,Yes,,$535,18/01/2024,"$1,489,000",15/01/2024,"$1,499,000",Single Family Residence
117,"209 - 12460 191 St, Pitt Meadows, BC",1,1,755 sqft,,1,"$2,634",2019,R2840484,Residential,Yes,,$713,17/01/2024,"$521,500",08/01/2024,"$539,000",Apartment/Condominium
118,"308 - 19236 Ford Rd, Pitt Meadows, BC",2,2,1233 sqft,,1,"$2,793",1990,R2842138,Residential,Yes,,$449,16/01/2024,"$543,900",14/01/2024,"$553,900",Apartment/Condominium
119,"413 - 11950 Harris Rd, Pitt Meadows, BC",1,1,744 sqft,,1,"$2,533",2008,R2834494,Residential,Yes,,$660,14/01/2024,"$490,800",22/11/2023,"$491,500",Apartment/Condominium
120,"33 - 19696 Hammond Rd, Pitt Meadows, BC",3,3,1230 sqft,,2,"$3,488",2021,R2829444,Residential,Yes,,$689,11/01/2024,"$842,000",31/10/2023,"$848,000",Townhouse
121,"11247 Southgate Rd, Pitt Meadows, BC",5,2,2933 sqft,,4,"$5,796",2005,R2832407,Residential,Yes,,$487,11/01/2024,"$1,375,000",13/11/2023,"$1,429,900",Single Family Residence
122,"11977 189b St, Pitt Meadows, BC",3,1,1838 sqft,,6,"$4,896",1975,R2833890,Residential,Yes,,$678,09/01/2024,"$1,245,000",20/11/2023,"$1,248,000",Single Family Residence
123,"18913 119b Ave, Pitt Meadows, BC",3,2,2014 sqft,,5,"$4,906",1976,R2839027,Residential,Yes,,$645,09/01/2024,"$1,270,000",02/01/2024,"$1,299,900",Single Family Residence
124,"214 - 12460 191 St, Pitt Meadows, BC",3,2,1308 sqft,,2,"$3,616",2019,R2837031,Residential,Yes,,$611,08/01/2024,"$790,000",04/12/2023,"$799,900",Apartment/Condominium
125,"12065 Blakely Rd, Pitt Meadows, BC",4,3,2684 sqft,,3,,2023,R2760416,Residential,Yes,,$502,08/01/2024,"$1,349,000",14/03/2023,"$1,349,000",Multi Family
126,"12322 193 St, Pitt Meadows, BC",3,3,2362 sqft,,7,"$5,396",1990,R2834209,Residential,Yes,,$613,08/01/2024,"$1,440,000",21/11/2023,"$1,449,900",Single Family Residence
127,"5 - 19060 119 Ave, Pitt Meadows, BC",4,1,1516 sqft,,2,"$4,117",1988,R2838713,Residential,Yes,,$513,07/01/2024,"$783,585",01/01/2024,"$778,500",Townhouse
128,"26 - 19452 Fraser Way, Pitt Meadows, BC",3,2,1879 sqft,,1,"$5,289",2006,R2838406,Residential,Yes,,$691,01/01/2024,"$1,299,900",26/12/2023,"$1,299,900",Townhouse
129,"12532 190a St, Pitt Meadows, BC",3,2,2151 sqft,,3,"$5,774",2003,R2829259,Residential,Yes,,$555,30/12/2023,"$1,170,000",30/10/2023,"$1,195,000",Single Family Residence
130,"19547 Thorburn Way, Pitt Meadows, BC",3,2,2451 sqft,,4,"$5,621",2008,R2836520,Residential,Yes,,$591,27/12/2023,"$1,380,000",05/12/2023,"$1,450,000",Single Family Residence
131,"402 - 12079 Harris Rd, Pitt Meadows, BC",1,1,561 sqft,,1,"$2,313",2010,R2777004,Residential,Yes,,$903,26/12/2023,"$500,000",09/05/2023,"$507,000",Apartment/Condominium
132,"413 - 19677 Meadow Gardens Way, Pitt Meadows, BC",2,2,1144 sqft,,1,"$3,189",2007,R2836906,Residential,Yes,,$533,22/12/2023,"$600,000",07/12/2023,"$609,900",Apartment/Condominium
133,"12295 193 St, Pitt Meadows, BC",3,2,1261 sqft,,4,"$4,873",1989,R2821647,Residential,Yes,,$831,05/12/2023,"$1,025,000",03/10/2023,"$1,049,000",Single Family Residence
