,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
2089,"43 - 7179 18th Ave, Burnaby, BC",1,1,647 sqft,,1,"$1,324",1997,R2817376,Residential,Yes,,$772,25/09/2023,"$508,000",18/09/2023,"$499,900",Apartment/Condominium
2090,"7334 Capistrano Dr, Burnaby, BC",3,1,1898 sqft,,2,"$2,133",1973,R2817580,Residential,Yes,,$525,25/09/2023,"$1,025,000",18/09/2023,"$998,000",Townhouse
2091,"1206 - 5848 Olive Ave, Burnaby, BC",1,2,799 sqft,,1,"$1,584",1999,R2817646,Residential,Yes,,$811,25/09/2023,"$645,000",19/09/2023,"$648,000",Apartment/Condominium
2092,"1605 - 6098 Station St, Burnaby, BC",2,2,903 sqft,,1,"$2,548",2018,R2817107,Residential,Yes,,"$1,162",25/09/2023,"$1,035,000",18/09/2023,"$1,050,000",Apartment/Condominium
2093,"406 - 7418 Byrnepark Walk, Burnaby, BC",1,1,640 sqft,,1,"$1,460",2012,R2808477,Residential,Yes,,$951,25/09/2023,"$604,500",20/08/2023,"$609,000",Apartment/Condominium
2094,"7513 16th Ave, Burnaby, BC",4,3,1866 sqft,,1,"$5,963",2023,R2816821,Residential,Yes,,$964,25/09/2023,"$1,764,025",17/09/2023,"$1,799,000",Multi Family
2095,"6150 Napier St, Burnaby, BC",4,2,2743 sqft,,4,"$6,289",1965,R2819983,Residential,Yes,,$747,25/09/2023,"$2,050,000",25/09/2023,"$2,050,000",Single Family Residence
2096,"2008 - 4132 Halifax St, Burnaby, BC",1,1,859 sqft,,1,"$1,892",2005,R2815186,Residential,Yes,,$802,24/09/2023,"$665,000",10/09/2023,"$689,000",Apartment/Condominium
2097,"1704 - 2381 Beta Ave, Burnaby, BC",1,1,478 sqft,,1,,2024,R2765874,Residential,Yes,,"$1,464",24/09/2023,"$699,900",02/04/2023,"$699,900",Apartment/Condominium
2098,"8533 Woodtrail Pl, Burnaby, BC",4,2,1826 sqft,,2,"$2,708",1981,R2816884,Residential,No,,$591,24/09/2023,"$1,042,000",17/09/2023,"$1,080,000",Townhouse
2099,"5195 Dominion St, Burnaby, BC",4,2,1348 sqft,,1,,2023,R2814706,Residential,Yes,,"$1,096",24/09/2023,"$1,438,888",11/09/2023,"$1,478,000",Multi Family
2100,"412 - 9319 University Cres, Burnaby, BC",2,2,840 sqft,,1,"$1,340",2005,R2779296,Residential,Yes,,$701,24/09/2023,"$572,500",17/05/2023,"$588,888",Apartment/Condominium
2101,"2403 - 1888 Gilmore Ave, Burnaby, BC",2,2,935 sqft,,2,"$2,617",2020,R2816715,Residential,Yes,,$961,24/09/2023,"$900,000",17/09/2023,"$899,000",Apartment/Condominium
2102,"5201 - 6461 Telford Ave, Burnaby, BC",1,1,493 sqft,,0,"$1,542",2014,R2808293,Residential,Yes,,"$1,186",24/09/2023,"$555,000",20/08/2023,"$585,000",Apartment/Condominium
2103,"3701 - 4510 Halifax Way, Burnaby, BC",2,2,918 sqft,,1,"$2,666",2019,R2813032,Residential,Yes,,"$1,088",24/09/2023,"$978,000",05/09/2023,"$999,000",Apartment/Condominium
2104,"3603 - 3809 Evergreen Pl, Burnaby, BC",1,1,558 sqft,,1,,2023,R2816732,Residential,Yes,,"$1,179",24/09/2023,"$645,000",17/09/2023,"$658,000",Apartment/Condominium
2105,"1203 - 7063 Hall Ave, Burnaby, BC",2,2,1172 sqft,,1,"$1,774",2007,R2817003,Residential,Yes,,$732,24/09/2023,"$860,000",18/09/2023,"$859,000",Apartment/Condominium
