,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
543,Townhouse,"$8,254",2021 sqft,No,$841,R2609533,,Residential,2021,,"1446 30 Th Ave E, Vancouver, BC",3,3,0,12/08/2021,"$1,699,900",15/08/2021,"$1,725,000"
544,Apartment/Condominium,"$1,631",672 sqft,Yes,$891,R2608391,,Residential,2005,,"311 - 2525 Blenheim St, Vancouver, BC",1,1,1,08/08/2021,"$599,000",16/08/2021,"$626,000"
545,Apartment/Condominium,,694 sqft,Yes,$914,R2609229,,Residential,2023,,"105 - 5399 Joyce St, Vancouver, BC",2,2,1,08/08/2021,"$635,000",16/08/2021,"$635,000"
546,Apartment/Condominium,,540 sqft,Yes,$738,R2743694,,Residential,1965,,"1103 - 1534 Harwood St, Vancouver, BC",1,1,1,02/01/2023,"$399,000",14/02/2023,"$375,000"
547,Apartment/Condominium,,884 sqft,Yes,"$1,340",R2611043,,Residential,2023,,"108 - 5608 Berton Ave, Vancouver, BC",2,2,0,16/08/2021,"$1,184,800",16/08/2021,"$1,184,800"
548,Single Family Residence,"$5,666",2152 sqft,Yes,$784,R2607844,,Residential,1961,,"2182 E 46th Ave, Vancouver, BC",2,5,4,05/08/2021,"$1,688,000",16/08/2021,"$1,792,000"
549,Apartment/Condominium,"$2,312",741 sqft,Yes,"$1,198",R2604709,,Residential,2005,,"1107 - 455 Beach Cres, Vancouver, BC",1,2,1,25/07/2021,"$888,000",16/08/2021,"$865,000"
550,Apartment/Condominium,"$3,320",1176 sqft,Yes,"$1,105",R2605810,,Residential,2007,,"801 - 1189 Melville St, Vancouver, BC",2,2,1,25/07/2021,"$1,300,000",16/08/2021,"$1,260,000"
551,Townhouse,"$3,843",1357 sqft,Yes,"$1,030",R2608186,,Residential,2013,,"128 W 1st Ave, Vancouver, BC",2,2,2,08/08/2021,"$1,398,000",16/08/2021,"$1,390,000"
552,Apartment/Condominium,"$1,320",633 sqft,Yes,$774,R2606590,,Residential,2013,,"206 - 4338 Commercial St, Vancouver, BC",1,1,1,02/08/2021,"$490,000",16/08/2021,"$490,000"
553,Apartment/Condominium,"$1,334",480 sqft,Yes,"$1,166",R2589853,,Residential,2017,,"610 - 2888 Cambie St, Vancouver, BC",1,0,0,06/06/2021,"$559,900",16/08/2021,"$530,000"
554,Apartment/Condominium,"$1,844",842 sqft,Yes,$710,R2607511,,Residential,2013,,"602 - 4815 Eldorado Mews, Vancouver, BC",2,2,1,04/08/2021,"$598,000",16/08/2021,"$695,000"
555,Apartment/Condominium,"$1,967",932 sqft,Yes,$738,R2607841,,Residential,2013,,"313 - 3133 Riverwalk Ave, Vancouver, BC",2,2,1,05/08/2021,"$688,000",16/08/2021,"$728,888"
556,Single Family Residence,"$28,791",3847 sqft,No,"$2,235",R2594641,,Residential,1918,,"4646 W 3rd Ave, Vancouver, BC",2,4,2,20/06/2021,"$8,599,000",16/08/2021,"$7,500,000"
557,Single Family Residence,"$19,050",4736 sqft,Yes,"$1,055",R2588645,,Residential,2009,,"4013 W 29th Ave, Vancouver, BC",6,4,0,31/05/2021,"$4,999,900",16/08/2021,"$5,040,000"
558,Apartment/Condominium,"$1,500",506 sqft,Yes,"$1,037",R2608292,,Residential,2017,,"2003 - 5515 Boundary Rd, Vancouver, BC",1,1,1,08/08/2021,"$525,000",16/08/2021,"$530,000"
559,Apartment/Condominium,,701 sqft,Yes,"$1,771",R2608769,,Residential,2026,,"2803 - 1277 Hornby St, Vancouver, BC",2,2,0,04/08/2021,"$1,241,900",16/08/2021,"$1,241,900"
560,Single Family Residence,"$6,235",2482 sqft,No,$805,R2609840,,Residential,1970,,"65 E 51st Ave, Vancouver, BC",2,5,1,15/08/2021,"$1,999,000",17/08/2021,"$2,050,000"
561,Apartment/Condominium,"$1,845",867 sqft,Yes,$911,R2733909,,Residential,2005,,"802 - 189 National Ave, Vancouver, BC",1,2,1,24/10/2022,"$790,000",03/11/2022,"$765,000"
562,Apartment/Condominium,"$2,467",945 sqft,Yes,"$1,119",R2636346,,Residential,2012,,"509 - 161 W Georgia St, Vancouver, BC",2,2,0,28/11/2021,"$1,058,000",05/12/2021,"$999,888"
563,Single Family Residence,"$3,362",2546 sqft,No,$667,R2597385,,Residential,1923,,"1844 Victoria Dr, Vancouver, BC",3,5,1,27/06/2021,"$1,699,000",17/08/2021,"$1,709,000"
564,Apartment/Condominium,"$1,472",678 sqft,Yes,$824,R2606899,,Residential,2001,,"1507 - 3520 Crowley Dr, Vancouver, BC",1,1,1,02/08/2021,"$559,000",17/08/2021,"$550,000"
565,Apartment/Condominium,"$1,888",633 sqft,Yes,"$1,213",R2608509,,Residential,1997,,"1406 - 1003 Pacific St, Vancouver, BC",1,1,1,08/08/2021,"$768,000",17/08/2021,"$735,000"
566,Single Family Residence,"$9,357",3738 sqft,No,$797,R2609243,,Residential,1945,,"2726 Marine Dr Sw, Vancouver, BC",3,5,4,11/08/2021,"$2,980,000",17/08/2021,"$3,089,000"
567,Apartment/Condominium,"$1,832",893 sqft,Yes,$727,R2609253,,Residential,2013,,"310 - 3133 Riverwalk Ave, Vancouver, BC",2,2,1,11/08/2021,"$649,988",17/08/2021,"$718,000"
568,Apartment/Condominium,"$1,835",586 sqft,No,"$1,037",R2610715,,Residential,2019,,"282 - 87 Nelson St, Vancouver, BC",1,1,0,17/08/2021,"$608,000",18/08/2021,"$615,000"
569,Apartment/Condominium,"$1,977",900 sqft,Yes,$942,R2757404,,Residential,1975,,"705 - 2445 W 3rd Ave, Vancouver, BC",1,1,1,05/03/2023,"$848,000",22/03/2023,"$840,000"
570,Apartment/Condominium,,844 sqft,Yes,"$1,320",R2611027,,Residential,2023,,"1605 - 5608 Berton Ave, Vancouver, BC",2,2,0,16/08/2021,"$1,114,800",18/08/2021,"$1,114,800"
571,Single Family Residence,"$9,001",1506 sqft,Yes,"$1,912",R2608370,,Residential,1930,,"3296 W 37th Ave, Vancouver, BC",2,4,1,08/08/2021,"$2,880,000",18/08/2021,"$3,089,000"
572,Apartment/Condominium,"$1,526",452 sqft,Yes,"$1,283",R2608976,,Residential,2016,,"2403 - 8031 Nunavut Lane, Vancouver, BC",1,1,1,10/08/2021,"$580,000",18/08/2021,"$560,000"
