,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
67,Single Family Residence,"$4,536",1619 sqft,Yes,$524,R2595124,,Residential,1989,,"11454 207 St, Maple Ridge, BC",2,3,0,21/06/2021,"$849,900",27/06/2021,"$950,000"
68,Single Family Residence,"$5,215",2792 sqft,Yes,$411,R2596795,,Residential,2003,,"23803 115a Ave, Maple Ridge, BC",3,4,0,27/06/2021,"$1,149,888",27/06/2021,"$1,233,000"
69,Townhouse,"$3,834",2170 sqft,Yes,$349,R2596279,,Residential,2015,,"23986 104 Ave, Maple Ridge, BC",3,3,0,23/06/2021,"$759,000",27/06/2021,"$774,000"
70,Multi Family,"$5,475",2560 sqft,Yes,$468,R2865231,,Residential,2000,,"12793 228a St, Maple Ridge, BC",1,5,4,01/04/2024,"$1,199,900",-,-
71,Single Family Residence,"$6,462",3607 sqft,Yes,$360,R2594638,,Residential,2013,,"22845 126b Ave, Maple Ridge, BC",4,6,0,20/06/2021,"$1,299,900",27/06/2021,"$1,375,000"
72,Single Family Residence,"$4,744",2775 sqft,Yes,$406,R2573382,,Residential,1997,,"23225 124 Ave, Maple Ridge, BC",3,4,8,27/04/2021,"$1,128,800",03/07/2021,"$1,117,000"
73,Single Family Residence,"$4,657",1815 sqft,Yes,$522,R2597413,,Residential,1988,,"20470 115a Ave, Maple Ridge, BC",2,3,0,27/06/2021,"$949,000",02/07/2021,"$1,001,000"
74,Single Family Residence,"$5,952",2118 sqft,Yes,$660,R2595134,,Residential,2013,,"23608 Rock Ridge Dr, Maple Ridge, BC",3,4,0,21/06/2021,"$1,399,000",02/07/2021,"$1,340,000"
75,Single Family Residence,"$4,681",2179 sqft,Yes,$412,R2597105,,Residential,2014,,"24420 102 Ave, Maple Ridge, BC",3,4,0,23/06/2021,"$899,900",01/07/2021,"$999,000"
76,Single Family Residence,"$6,273",3725 sqft,No,$348,R2579093,,Residential,1975,,"22477 121 Ave, Maple Ridge, BC",3,7,7,09/05/2021,"$1,299,000",02/07/2021,"$1,260,000"
77,Single Family Residence,"$4,410",1246 sqft,No,$682,R2585761,,Residential,1977,,"20914 Mckinney Ave, Maple Ridge, BC",1,3,4,26/05/2021,"$849,900",03/07/2021,"$840,000"
78,Townhouse,,1405 sqft,Yes,$540,R2598318,,Residential,2021,,"24 - 23183 136 Ave, Maple Ridge, BC",2,3,2,30/06/2021,"$759,900",01/07/2021,"$759,900"
79,Townhouse,"$3,731",1772 sqft,Yes,$428,R2597835,,Residential,2008,,"22206 124 Ave, Maple Ridge, BC",3,4,0,29/06/2021,"$759,900",01/07/2021,"$800,000"
80,Multi Family,"$5,046",2184 sqft,Yes,$452,R2599049,,Residential,2016,,"13589 Nelson Peak Dr, Maple Ridge, BC",3,3,0,04/07/2021,"$988,000",06/07/2021,"$1,025,000"
81,Manufactured Home,$327,924 sqft,No,$324,R2898669,,Residential,1979,,"3 - 21091 Lougheed Highway, Maple Ridge, BC",1,2,0,24/06/2024,"$299,900",-,Not Sold Yet
82,Townhouse,"$2,947",1116 sqft,No,$380,R2594707,,Residential,1990,,"57 - 22308 124 Ave, Maple Ridge, BC",2,2,1,19/06/2021,"$424,900",08/07/2021,"$418,500"
83,Single Family Residence,"$4,468",1930 sqft,Yes,$505,R2596205,,Residential,1977,,"20894 125 Ave, Maple Ridge, BC",1,4,0,22/06/2021,"$975,000",06/07/2021,"$1,136,000"
84,Townhouse,"$3,033",1452 sqft,Yes,$481,R2598491,,Residential,2011,,"136 - 13819 232 St, Maple Ridge, BC",2,3,3,04/07/2021,"$699,000",06/07/2021,"$737,000"
85,Single Family Residence,"$3,764",1652 sqft,No,$484,R2597928,,Residential,1947,,"12500 227 St, Maple Ridge, BC",2,3,0,29/06/2021,"$799,900",07/07/2021,"$850,000"
