,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
89,Single Family Residence,"$4,100",1478 sqft,Yes,$878,R2595396,,Residential,1988,,"2706 Alice Lake Pl, Coquitlam, BC",2,3,4,21/06/2021,"$1,298,800",09/07/2021,"$1,298,800"
90,Single Family Residence,"$5,716",4620 sqft,Yes,$400,R2568822,,Residential,1991,,"2270 Sicamous Ave, Coquitlam, BC",3,5,0,19/04/2021,"$1,849,000",10/07/2021,"$1,810,000"
91,Single Family Residence,"$5,096",2416 sqft,No,$579,R2597680,,Residential,1960,,"947 Stanton Ave, Coquitlam, BC",2,4,0,29/06/2021,"$1,399,999",10/07/2021,"$1,453,000"
92,Single Family Residence,"$6,500",4174 sqft,Yes,$443,R2578787,,Residential,1997,,"3060 Wren Pl, Coquitlam, BC",3,7,4,09/05/2021,"$1,850,000",10/07/2021,"$1,824,000"
93,Apartment/Condominium,,1162 sqft,Yes,$623,R2595249,,Residential,2012,,"505 - 2950 Panorama Dr, Coquitlam, BC",2,2,2,21/06/2021,"$725,000",10/07/2021,"$700,000"
94,Townhouse,"$3,087",1687 sqft,Yes,$497,R2595924,,Residential,1987,,"1195 Falcon Dr, Coquitlam, BC",2,3,0,22/06/2021,"$839,000",10/07/2021,"$820,000"
95,Apartment/Condominium,,992 sqft,Yes,$766,R2594347,,Residential,2021,,"611 - 700 Clarke Rd, Coquitlam, BC",2,3,1,17/06/2021,"$759,900",09/07/2021,"$749,000"
96,Single Family Residence,"$3,812",2374 sqft,No,$547,R2599268,,Residential,1964,,"1526 Como Lake Ave, Coquitlam, BC",4,6,0,05/07/2021,"$1,299,000",12/07/2021,"$1,370,000"
97,Townhouse,"$3,629",2177 sqft,Yes,$504,R2598855,,Residential,1999,,"43 - 3405 Plateau Blvd, Coquitlam, BC",2,3,4,04/07/2021,"$1,098,000",12/07/2021,"$1,140,000"
98,Apartment/Condominium,"$2,735",853 sqft,Yes,$772,R2598502,,Residential,2015,,"1807 - 3007 Glen Dr, Coquitlam, BC",2,2,2,04/07/2021,"$659,000",12/07/2021,"$703,000"
99,Single Family Residence,"$5,304",4902 sqft,Yes,$366,R2598815,,Residential,1982,,"1832 Lemax Ave, Coquitlam, BC",3,4,4,04/07/2021,"$1,799,000",12/07/2021,"$1,818,000"
100,Single Family Residence,"$5,170",3358 sqft,Yes,$514,R2597178,,Residential,2011,,"1335 Kerry Crt, Coquitlam, BC",3,4,6,27/06/2021,"$1,729,000",13/07/2021,"$1,650,000"
101,Single Family Residence,"$3,874",3162 sqft,No,$439,R2578626,,Residential,1962,,"93 Denman Crt, Coquitlam, BC",3,6,6,09/05/2021,"$1,388,888",12/07/2021,"$1,285,000"
102,Single Family Residence,"$3,651",2030 sqft,Yes,$541,R2598638,,Residential,1980,,"3179 Sechelt Dr, Coquitlam, BC",3,4,2,04/07/2021,"$1,099,000",12/07/2021,"$1,197,500"
103,Apartment/Condominium,"$2,524",1180 sqft,Yes,$466,R2600140,,Residential,1993,,"103 - 2975 Princess Cres, Coquitlam, BC",2,2,2,07/07/2021,"$549,990",12/07/2021,"$545,000"
104,Single Family Residence,"$3,174",2116 sqft,No,$543,R2572980,,Residential,1979,,"1159 Eagleridge Dr, Coquitlam, BC",2,5,3,27/04/2021,"$1,149,800",15/07/2021,"$1,107,000"
105,Townhouse,"$3,243",1357 sqft,Yes,$661,R2599758,,Residential,2014,,"15 - 3470 Highland Dr, Coquitlam, BC",2,3,2,06/07/2021,"$898,000",16/07/2021,"$888,000"
106,Apartment/Condominium,"$1,230",850 sqft,Yes,$564,R2596500,,Residential,1995,,"208 - 1591 Booth Ave, Coquitlam, BC",2,2,2,24/06/2021,"$480,000",16/07/2021,"$478,000"
107,Townhouse,"$2,608",1290 sqft,Yes,$542,R2601465,,Residential,2011,,"88 - 3010 Riverbend Dr, Coquitlam, BC",2,2,3,12/07/2021,"$700,000",16/07/2021,"$697,500"
108,Apartment/Condominium,"$2,046",700 sqft,Yes,$982,R2823319,,Residential,2019,,"1809 691 North Rd, Coquitlam, BC",2,2,1,09/10/2023,"$688,000",12/12/2023,"$675,000"
109,Apartment/Condominium,,758 sqft,Yes,"$1,027",R2583946,,Residential,2021,,"3009 - 450 Westview St, Coquitlam, BC",2,2,0,18/05/2021,"$778,888",16/07/2021,"$762,000"
110,Single Family Residence,"$8,069",6103 sqft,Yes,$368,R2598730,,Residential,2016,,"299 Montgomery St, Coquitlam, BC",7,7,4,04/07/2021,"$2,250,000",16/07/2021,"$2,295,000"
111,Apartment/Condominium,"$2,532",798 sqft,Yes,$774,R2599277,,Residential,2013,,"305 - 617 Smith Ave, Coquitlam, BC",1,2,1,05/07/2021,"$618,000",16/07/2021,"$608,000"
112,Apartment/Condominium,"$2,593",878 sqft,Yes,$740,R2600962,,Residential,2017,,"208 - 609 Cottonwood Ave, Coquitlam, BC",2,2,1,11/07/2021,"$649,900",18/07/2021,"$662,500"
113,Apartment/Condominium,"$2,443",815 sqft,Yes,$674,R2601404,,Residential,2011,,"211 - 1188 Johnson St, Coquitlam, BC",2,2,1,12/07/2021,"$550,000",19/07/2021,"$582,200"
114,Single Family Residence,"$4,783",2415 sqft,Yes,$620,R2600920,,Residential,1967,,"809 Runnymede Ave, Coquitlam, BC",2,4,6,11/07/2021,"$1,499,000",18/07/2021,"$1,515,000"
115,Apartment/Condominium,"$3,132",805 sqft,Yes,$916,R2599110,,Residential,2019,,"2308 - 530 Whiting Way, Coquitlam, BC",2,2,1,05/07/2021,"$738,000",18/07/2021,"$738,000"
