,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
227,Apartment/Condominium,"$2,650",945 sqft,No,$738,R2633467,,Residential,2007,,"1701 - 610 Victoria St, New Westminster, BC",2,2,2,15/11/2021,"$698,000",20/11/2021,"$720,000"
228,Apartment/Condominium,"$2,343",1153 sqft,Yes,$510,R2811846,,Residential,1984,,"312 - 423 Agnes St, New Westminster, BC",1,2,1,05/09/2023,"$588,888",11/09/2023,"$615,000"
229,Apartment/Condominium,"$1,779",810 sqft,Yes,$679,R2629152,,Residential,2008,,"2103 - 244 Sherbrooke St, New Westminster, BC",2,2,1,25/10/2021,"$549,999",19/11/2021,"$545,000"
230,Apartment/Condominium,"$1,801",662 sqft,Yes,$793,R2633741,,Residential,2008,,"1206 - 39 6 Th St, New Westminster, BC",1,1,1,17/11/2021,"$525,000",19/11/2021,"$522,500"
231,Apartment/Condominium,"$2,659",983 sqft,Yes,$731,R2622181,,Residential,2010,,"1706 - 280 Ross Dr, New Westminster, BC",2,2,1,28/09/2021,"$719,000",19/11/2021,"$715,000"
232,Single Family Residence,,2182 sqft,No,$732,R2633934,,Residential,2020,,"221 Manitoba St, New Westminster, BC",2,5,2,16/11/2021,"$1,599,000",23/11/2021,"$1,610,000"
233,Apartment/Condominium,"$2,300",811 sqft,Yes,$721,R2634389,,Residential,2012,,"105 - 215 Brookes St, New Westminster, BC",2,2,2,22/11/2021,"$584,900",25/11/2021,"$605,000"
234,Apartment/Condominium,"$1,303",619 sqft,Yes,$557,R2625493,,Residential,1977,,"106 - 436 7 Th St, New Westminster, BC",1,1,1,12/10/2021,"$344,900",23/11/2021,"$324,000"
235,Apartment/Condominium,"$1,801",545 sqft,Yes,$915,R2633143,,Residential,2017,,"106 - 200 Nelson's Cres, New Westminster, BC",1,1,1,14/11/2021,"$499,000",24/11/2021,"$512,500"
236,Apartment/Condominium,"$1,782",827 sqft,Yes,$591,R2830971,,Residential,1984,,"217 - 836 12 Th St, New Westminster, BC",1,1,1,06/11/2023,"$488,880",31/12/2023,"$475,000"
237,Apartment/Condominium,"$2,077",960 sqft,Yes,$447,R2622997,,Residential,1993,,"206 - 1009 Howay St, New Westminster, BC",2,2,1,03/10/2021,"$430,000",23/11/2021,"$428,000"
238,Apartment/Condominium,"$1,560",455 sqft,Yes,$923,R2625331,,Residential,2017,,"305 - 809 4 Th Ave, New Westminster, BC",1,1,1,12/10/2021,"$420,000",23/11/2021,"$420,000"
239,Single Family Residence,"$3,896",2025 sqft,Yes,$591,R2634301,,Residential,1955,,"406 Garrett St, New Westminster, BC",2,6,4,17/11/2021,"$1,198,000",25/11/2021,"$1,400,000"
240,Apartment/Condominium,"$2,431",1128 sqft,Yes,$576,R2635162,,Residential,1992,,"1003 - 71 Jamieson Crt, New Westminster, BC",2,2,1,22/11/2021,"$649,900",30/11/2021,"$630,000"
241,Single Family Residence,"$5,450",2768 sqft,No,$577,R2634757,,Residential,1963,,"131 Rickman Pl, New Westminster, BC",2,5,2,21/11/2021,"$1,599,900",30/11/2021,"$1,725,000"
242,Single Family Residence,"$4,090",1502 sqft,No,$831,R2635690,,Residential,1946,,"444 Elmer St, New Westminster, BC",2,3,0,25/11/2021,"$1,249,000",30/11/2021,"$1,425,000"
243,Townhouse,"$2,175",937 sqft,Yes,$885,R2685096,,Residential,2012,,"32 - 1111 Ewen Ave, New Westminster, BC",1,2,1,04/05/2022,"$829,900",-,-
244,Apartment/Condominium,"$1,108",509 sqft,Yes,$646,R2633815,,Residential,1977,,"209 - 707 8th St, New Westminster, BC",1,1,1,15/11/2021,"$329,000",01/12/2021,"$314,000"
245,Apartment/Condominium,"$2,247",817 sqft,Yes,$733,R2635468,,Residential,2009,,"2309 - 892 Carnarvon St, New Westminster, BC",2,2,1,23/11/2021,"$599,000",30/11/2021,"$635,000"
246,Apartment/Condominium,"$1,844",532 sqft,Yes,"$1,013",R2636472,,Residential,2019,,"1907 - 988 Quayside Dr, New Westminster, BC",1,1,1,29/11/2021,"$539,000",30/11/2021,"$539,000"
247,Apartment/Condominium,"$1,885",822 sqft,Yes,$631,R2846103,,Residential,1975,,"406 - 466 8 Th Ave E, New Westminster, BC",1,2,1,04/02/2024,"$519,000",12/02/2024,"$509,000"
