,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
875,Apartment/Condominium,"$1,516",962 sqft,Yes,$706,R2878213,,Residential,1981,,"1502 - 5652 Patterson Ave, Burnaby, BC",1,2,1,30/04/2024,"$680,000",05/05/2024,"$660,000"
876,Townhouse,"$2,882",1350 sqft,Yes,$807,R2641875,,Residential,2009,,"28 - 5773 Irmin St, Burnaby, BC",2,3,2,09/01/2022,"$1,090,000",24/01/2022,"$1,290,000"
877,Apartment/Condominium,"$1,410",700 sqft,Yes,$742,R2643683,,Residential,1993,,"904 - 4657 Hazel St, Burnaby, BC",1,1,1,16/01/2022,"$519,990",24/01/2022,"$575,000"
878,Apartment/Condominium,"$1,140",677 sqft,Yes,$589,R2643162,,Residential,1976,,"1905 - 3755 Bartlett Crt, Burnaby, BC",1,1,1,16/01/2022,"$399,000",24/01/2022,"$410,000"
879,Apartment/Condominium,"$2,439",841 sqft,Yes,"$1,064",R2893193,,Residential,2020,,"2106 - 2351 Beta Ave, Burnaby, BC",2,2,1,09/06/2024,"$894,900",-,Not Sold Yet
880,Townhouse,"$1,879",912 sqft,Yes,$766,R2644290,,Residential,2005,,"51 - 7088 17th Ave, Burnaby, BC",2,2,2,18/01/2022,"$699,000",25/01/2022,"$780,000"
881,Single Family Residence,"$5,488",4189 sqft,Yes,$522,R2643692,,Residential,2003,,"5578 Claude Ave, Burnaby, BC",6,8,5,17/01/2022,"$2,188,000",25/01/2022,"$2,400,000"
882,Single Family Residence,"$8,143",4736 sqft,Yes,$738,R2644320,,Residential,2017,,"6038 Portland St, Burnaby, BC",6,8,6,18/01/2022,"$3,499,000",25/01/2022,"$3,270,000"
883,Single Family Residence,"$6,093",3103 sqft,Yes,$879,R2644131,,Residential,2014,,"7143 Mcbride St, Burnaby, BC",4,6,4,16/01/2022,"$2,728,000",25/01/2022,"$2,690,000"
884,Apartment/Condominium,"$2,541",983 sqft,Yes,$915,R2643394,,Residential,2018,,"401 - 2188 Madison Ave, Burnaby, BC",2,2,2,16/01/2022,"$899,900",25/01/2022,"$951,000"
885,Apartment/Condominium,"$1,681",925 sqft,Yes,$668,R2645364,,Residential,2004,,"409 - 9288 University Cres, Burnaby, BC",2,2,1,23/01/2022,"$618,000",25/01/2022,"$615,000"
886,Apartment/Condominium,"$2,941",915 sqft,Yes,"$1,014",R2642596,,Residential,2018,,"2208 - 4670 Assembly Way, Burnaby, BC",2,2,1,11/01/2022,"$928,000",25/01/2022,"$1,111,000"
887,Single Family Residence,"$6,542",3305 sqft,Yes,$813,R2844949,,Residential,1984,,"7840 Meadowood Dr, Burnaby, BC",2,3,6,28/01/2024,"$2,688,000",05/02/2024,"$2,750,000"
888,Apartment/Condominium,"$1,979",897 sqft,Yes,$779,R2633123,,Residential,1999,,"1301 - 4567 Hazel St, Burnaby, BC",2,2,1,14/11/2021,"$699,000",28/01/2022,"$684,000"
889,Single Family Residence,"$5,234",2622 sqft,No,$762,R2644126,,Residential,1997,,"7671 Ulster St, Burnaby, BC",3,7,4,17/01/2022,"$1,999,000",28/01/2022,"$2,050,000"
890,Apartment/Condominium,"$1,593",875 sqft,Yes,$628,R2646501,,Residential,1983,,"318 - 4373 Halifax St, Burnaby, BC",1,2,1,26/01/2022,"$549,997",28/01/2022,"$575,000"
891,Single Family Residence,"$5,651",1875 sqft,Yes,$905,R2569344,,Residential,1952,,"3811 Frances St, Burnaby, BC",2,4,4,18/04/2021,"$1,698,000",28/01/2022,"$1,703,000"
892,Single Family Residence,"$5,310",2498 sqft,Yes,$900,R2646133,,Residential,2008,,"4769 Cambridge St, Burnaby, BC",3,3,0,23/01/2022,"$2,249,000",28/01/2022,"$2,311,000"
893,Single Family Residence,"$6,641",2648 sqft,Yes,$936,R2639940,,Residential,1985,,"6124 Brantford Ave, Burnaby, BC",3,4,4,20/12/2021,"$2,479,000",28/01/2022,"$2,425,000"
894,Apartment/Condominium,"$1,165",716 sqft,Yes,$656,R2632233,,Residential,1992,,"105 - 6860 Rumble St, Burnaby, BC",1,1,1,03/11/2021,"$469,900",28/01/2022,"$445,000"
895,Townhouse,"$2,203",1310 sqft,Yes,$706,R2641692,,Residential,1993,,"22 - 7175 17th Ave, Burnaby, BC",2,3,1,09/01/2022,"$925,000",30/01/2022,"$925,000"
896,Apartment/Condominium,,769 sqft,Yes,"$1,339",R2642153,,Residential,2021,,"2608 - 6699 Dunblane Ave, Burnaby, BC",2,2,1,06/01/2022,"$1,029,900",30/01/2022,"$1,029,900"
897,Apartment/Condominium,,842 sqft,No,$739,R2627661,,Residential,2022,,"316 - 9888 University Cres, Burnaby, BC",2,2,1,20/10/2021,"$622,900",30/01/2022,"$622,900"
898,Single Family Residence,"$10,231",6094 sqft,Yes,$752,R2639150,,Residential,2016,,"4631 Sardis St, Burnaby, BC",7,7,6,13/12/2021,"$4,588,000",30/01/2022,"$4,580,000"
899,Single Family Residence,"$5,107",1900 sqft,Yes,$993,R2866954,,Residential,1956,,"4644 Union St, Burnaby, BC",2,4,3,04/04/2024,"$1,888,000",-,Not Sold Yet
900,Single Family Residence,"$4,719",4076 sqft,Yes,$758,R2640188,,Residential,2022,,"5627 Ewart St, Burnaby, BC",6,8,5,27/12/2021,"$3,090,000",30/01/2022,"$3,020,000"
901,Apartment/Condominium,,554 sqft,Yes,"$1,189",R2636719,,Residential,2021,,"409 - 6699 Dunblane Ave, Burnaby, BC",1,1,1,29/11/2021,"$659,000",30/01/2022,"$651,000"
902,Single Family Residence,"$4,590",1931 sqft,No,$828,R2644981,,Residential,1955,,"6511 Balmoral St, Burnaby, BC",1,3,0,20/01/2022,"$1,599,000",30/01/2022,"$1,771,101"
903,Apartment/Condominium,"$1,555",780 sqft,Yes,$673,R2645541,,Residential,1998,,"307 - 3939 Hastings St, Burnaby, BC",2,2,1,24/01/2022,"$525,000",31/01/2022,"$600,500"
904,Apartment/Condominium,"$2,007",826 sqft,Yes,$880,R2645253,,Residential,2008,,"2104 - 4888 Brentwood Dr, Burnaby, BC",2,2,3,23/01/2022,"$727,000",31/01/2022,"$756,000"
905,Multi Family,"$3,955",2752 sqft,No,$614,R2643815,,Residential,1977,,"6535 Aubrey St, Burnaby, BC",2,5,4,17/01/2022,"$1,690,000",31/01/2022,"$1,668,000"
906,Apartment/Condominium,"$1,176",641 sqft,Yes,$732,R2645058,,Residential,1996,,"110 - 5281 Oakmount Cres, Burnaby, BC",1,1,1,23/01/2022,"$469,800",31/01/2022,"$515,000"
907,Apartment/Condominium,"$1,598",490 sqft,Yes,"$1,220",R2645319,,Residential,2015,,"3105 - 4688 Kingsway, Burnaby, BC",1,1,2,22/01/2022,"$598,000",31/01/2022,"$602,000"
908,Apartment/Condominium,"$2,613",1076 sqft,Yes,$881,R2645516,,Residential,2010,,"1001 - 6188 Wilson Ave, Burnaby, BC",2,2,1,23/01/2022,"$948,000",31/01/2022,"$1,038,000"
909,Apartment/Condominium,"$1,552",1353 sqft,Yes,$479,R2645639,,Residential,1975,,"204 - 2020 Bellwood Ave, Burnaby, BC",1,2,1,24/01/2022,"$649,000",31/01/2022,"$750,000"
910,Single Family Residence,"$5,533",2625 sqft,Yes,$799,R2646163,,Residential,1929,,"3765 Eton St, Burnaby, BC",2,4,4,25/01/2022,"$2,098,000",31/01/2022,"$2,175,000"
911,Apartment/Condominium,"$2,578",1139 sqft,Yes,$833,R2634728,,Residential,2005,,"2201 - 4132 Halifax St, Burnaby, BC",2,2,1,21/11/2021,"$949,900",31/01/2022,"$915,000"
912,Single Family Residence,"$5,231",2482 sqft,Yes,$761,R2646014,,Residential,1995,,"5801 Pioneer Ave, Burnaby, BC",4,4,3,24/01/2022,"$1,890,000",31/01/2022,"$2,235,000"
913,Townhouse,"$2,727",1408 sqft,Yes,$638,R2643412,,Residential,2008,,"403 - 4025 Norfolk St, Burnaby, BC",2,3,2,16/01/2022,"$899,000",31/01/2022,"$1,050,000"
914,Single Family Residence,"$6,746",4679 sqft,Yes,$533,R2645796,,Residential,2016,,"5029 Marine Dr, Burnaby, BC",8,8,5,24/01/2022,"$2,498,000",31/01/2022,"$2,880,000"
915,Single Family Residence,"$7,380",4791 sqft,Yes,$601,R2645262,,Residential,1992,,"6138 Denbigh Ave, Burnaby, BC",4,6,4,23/01/2022,"$2,880,000",31/01/2022,"$3,050,000"
916,Apartment/Condominium,"$2,887",901 sqft,Yes,$871,R2645298,,Residential,2017,,"207 - 4468 Dawson St, Burnaby, BC",2,2,2,23/01/2022,"$784,800",31/01/2022,"$847,000"
917,Apartment/Condominium,"$2,796",774 sqft,Yes,"$1,302",R2841850,,Residential,2021,,"2307 - 6699 Dunblane Ave, Burnaby, BC",2,2,1,14/01/2024,"$1,008,000",-,Not Sold Yet
918,Apartment/Condominium,"$1,379",740 sqft,No,$674,R2644705,,Residential,2012,,"303 - 9150 University High St, Burnaby, BC",1,1,1,19/01/2022,"$499,000",31/01/2022,"$550,000"
919,Apartment/Condominium,"$1,862",576 sqft,Yes,"$1,189",R2647004,,Residential,2017,,"2904 - 4485 Skyline Dr, Burnaby, BC",1,1,1,27/01/2022,"$685,000",01/02/2022,"$740,000"
920,Apartment/Condominium,"$2,072",915 sqft,Yes,$763,R2646455,,Residential,2012,,"1102 - 7090 Edmonds St, Burnaby, BC",2,2,1,25/01/2022,"$699,000",02/02/2022,"$813,800"
921,Apartment/Condominium,"$2,344",727 sqft,Yes,"$1,152",R2645895,,Residential,2019,,"4505 - 4510 Halifax Way, Burnaby, BC",2,2,1,24/01/2022,"$838,000",02/02/2022,"$822,000"
