,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
80,Townhouse,"$2,141",1604 sqft,No,$466,R2580680,,Residential,1974,,"8111 Saunders Rd, Richmond, BC",2,3,0,12/05/2021,"$748,000",21/06/2021,"$745,000"
81,Single Family Residence,"$5,908",3405 sqft,Yes,$669,R2587692,,Residential,2008,,"3591 Lockhart Rd, Richmond, BC",4,5,4,31/05/2021,"$2,280,000",22/06/2021,"$2,165,000"
82,Townhouse,"$2,098",1302 sqft,No,$536,R2592521,,Residential,1977,,"4900 Francis Rd, Richmond, BC",1,3,0,13/06/2021,"$699,000",22/06/2021,"$703,000"
83,Townhouse,"$4,024",1583 sqft,Yes,$795,R2591228,,Residential,2018,,"10611 Gilbert Rd, Richmond, BC",2,3,0,08/06/2021,"$1,259,999",22/06/2021,"$1,229,000"
84,Single Family Residence,"$7,486",3435 sqft,Yes,$811,R2852305,,Residential,2011,,"8331 Elsmore Rd, Richmond, BC",5,6,8,21/02/2024,"$2,788,800",28/02/2024,"$2,700,000"
85,Apartment/Condominium,"$1,208",905 sqft,Yes,$452,R2589723,,Residential,1973,,"228 - 8860 No. 1 Rd, Richmond, BC",1,1,1,06/06/2021,"$409,800",22/06/2021,"$399,000"
86,Townhouse,"$1,500",888 sqft,No,$606,R2594239,,Residential,1979,,"8760 Citation Dr, Richmond, BC",1,2,0,17/06/2021,"$538,800",22/06/2021,"$505,000"
87,Single Family Residence,"$4,947",2284 sqft,Yes,$870,R2591808,,Residential,1975,,"5240 Chetwynd Ave, Richmond, BC",2,5,0,10/06/2021,"$1,988,000",22/06/2021,"$1,945,000"
88,Single Family Residence,"$4,219",s0 q1tf42,No,$925,R2592379,,Residential,2012,,"11901 1 St Ave, Richmond, BC",4,5,0,13/06/2021,"$1,980,000",-,-
89,Single Family Residence,"$7,719",1801 sqft,No,"$1,249",R2564109,,Residential,1972,,"8420 Heather St, Richmond, BC",2,3,0,08/04/2021,"$2,250,000",26/06/2021,"$2,250,000"
90,Single Family Residence,"$3,983",2499 sqft,Yes,$719,R2595277,,Residential,1986,,"9640 Thomas Pl, Richmond, BC",3,6,0,21/06/2021,"$1,799,000",27/06/2021,"$1,860,000"
91,Single Family Residence,"$3,367",2135 sqft,Yes,$744,R2593497,,Residential,1975,,"11191 Galleon Crt, Richmond, BC",3,3,0,15/06/2021,"$1,590,000",26/06/2021,"$1,510,000"
92,Single Family Residence,"$5,680",3339 sqft,Yes,$595,R2595535,,Residential,2010,,"4757 Moncton St, Richmond, BC",4,5,0,21/06/2021,"$1,988,000",27/06/2021,"$2,250,000"
93,Apartment/Condominium,"$1,719",1002 sqft,Yes,$667,R2595815,,Residential,1998,,"105 - 5888 Dover Cres, Richmond, BC",2,2,1,22/06/2021,"$668,800",27/06/2021,"$688,800"
94,Townhouse,"$3,487",1481 sqft,Yes,$808,R2595222,,Residential,2014,,"7028 Ash St, Richmond, BC",2,4,0,21/06/2021,"$1,198,000",27/06/2021,"$1,190,000"
95,Apartment/Condominium,"$2,359",941 sqft,Yes,$823,R2593204,,Residential,2008,,"520 - 9373 Hemlock Dr, Richmond, BC",2,2,1,14/06/2021,"$775,000",27/06/2021,"$705,000"
96,Single Family Residence,"$4,068",2426 sqft,Yes,$654,R2578181,,Residential,1967,,"8560 Rosemary Ave, Richmond, BC",2,4,0,04/05/2021,"$1,588,800",29/06/2021,"$1,530,000"
97,Single Family Residence,"$3,654",1845 sqft,No,$736,R2575675,,Residential,1965,,"10600 Shell Rd, Richmond, BC",1,3,3,03/05/2021,"$1,358,000",29/06/2021,"$1,268,000"
98,Townhouse,"$3,784",1302 sqft,Yes,"$1,073",R2874381,,Residential,2020,,"25 - 7168 Lynnwood Dr, Richmond, BC",2,3,2,22/04/2024,"$1,398,000",-,-
99,Townhouse,"$2,645",2200 sqft,Yes,$526,R2595553,,Residential,1989,,"7711 Williams Rd, Richmond, BC",3,3,0,20/06/2021,"$1,158,800",29/06/2021,"$1,130,000"
100,Townhouse,"$3,084",1309 sqft,Yes,$762,R2596160,,Residential,2017,,"13 - 8288 No. 1 Rd, Richmond, BC",2,3,2,23/06/2021,"$998,000",29/06/2021,"$990,000"
101,Apartment/Condominium,"$1,976",674 sqft,Yes,"$1,037",R2743427,,Residential,2018,,"505 - 3333 Sexsmith Rd, Richmond, BC",1,1,1,27/12/2022,"$699,000",11/01/2023,"$660,000"
102,Townhouse,"$3,483",1757 sqft,Yes,$619,R2595460,,Residential,2004,,"7233 Heather St, Richmond, BC",3,4,0,20/06/2021,"$1,088,000",29/06/2021,"$1,120,000"
103,Apartment/Condominium,,834 sqft,No,$285,R2587924,,Residential,1974,,"301 - 7180 Lindsay Rd, Richmond, BC",1,2,1,31/05/2021,"$238,000",29/06/2021,"$230,000"
104,Apartment/Condominium,"$1,807",932 sqft,Yes,$664,R2575484,,Residential,1994,,"117 - 8180 Jones Rd, Richmond, BC",2,2,1,02/05/2021,"$619,000",04/07/2021,"$610,000"
105,Townhouse,,1196 sqft,Yes,$500,R2593819,,Residential,1985,,"7540 Abercrombie Dr, Richmond, BC",2,2,0,16/06/2021,"$599,000",03/07/2021,"$593,000"
106,Townhouse,"$2,049", t1qfs211,No,$593,R2595514,,Residential,1978,,"11491 7th Ave, Richmond, BC",1,3,0,21/06/2021,"$665,000",03/07/2021,"$660,000"
107,Townhouse,"$2,798",2051 sqft,Yes,$530,R2781051,,Residential,1988,,"3 - 6100 Woodwards Rd, Richmond, BC",2,3,2,23/05/2023,"$1,088,000",03/06/2023,"$1,300,000"
108,Single Family Residence,"$9,680",4298 sqft,Yes,$995,R2574665,,Residential,2020,,"6811 Gibbons Dr, Richmond, BC",6,5,0,02/05/2021,"$4,280,000",04/07/2021,"$3,674,286"
109,Apartment/Condominium,"$1,650",1050 sqft,Yes,$475,R2592886,,Residential,1989,,"212 - 8651 Ackroyd Rd, Richmond, BC",2,2,1,14/06/2021,"$499,000",03/07/2021,"$512,000"
110,Townhouse,"$2,326",1244 sqft,Yes,$642,R2568256,,Residential,1996,,"20 - 6588 Barnard Dr, Richmond, BC",2,2,1,16/04/2021,"$799,000",03/07/2021,"$799,000"
111,Single Family Residence,,2917 sqft,Yes,$565,R2590636,,Residential,1984,,"9720 Mcburney Dr, Richmond, BC",3,4,0,05/06/2021,"$1,650,000",03/07/2021,"$1,630,000"
112,Townhouse,"$1,294",1012 sqft,No,$512,R2598051,,Residential,1977,,"11658 Kingsbridge Dr, Richmond, BC",1,2,0,30/06/2021,"$518,888",05/07/2021,"$525,000"
113,Townhouse,"$2,522",1251 sqft,Yes,$638,R2587491,,Residential,2014,,"1 - 10119 River Dr, Richmond, BC",2,3,2,31/05/2021,"$798,888",06/07/2021,"$780,000"
114,Apartment/Condominium,"$1,781",1206 sqft,Yes,$431,R2592512,,Residential,1974,,"1203 - 6651 Minoru Blvd, Richmond, BC",2,2,1,13/06/2021,"$519,900",06/07/2021,"$517,800"
115,Apartment/Condominium,"$2,094",924 sqft,Yes,$648,R2596926,,Residential,2016,,"512 - 10011 River Dr, Richmond, BC",2,2,2,27/06/2021,"$599,000",06/07/2021,"$640,000"
116,Single Family Residence,"$5,976",3273 sqft,Yes,$608,R2596901,,Residential,2010,,"8368 Dorval Rd, Richmond, BC",4,5,0,27/06/2021,"$1,990,000",06/07/2021,"$2,258,000"
117,Apartment/Condominium,"$2,168",915 sqft,Yes,$818,R2590566,,Residential,2018,,"815 - 10780 No. 5 Rd, Richmond, BC",2,2,2,04/06/2021,"$749,000",06/07/2021,"$739,800"
118,Apartment/Condominium,"$1,716",585 sqft,Yes,"$1,005",R2570934,,Residential,2018,,"513 - 3333 Sexsmith Rd, Richmond, BC",1,1,1,22/04/2021,"$588,000",05/07/2021,"$583,000"
119,Single Family Residence,"$6,616",2476 sqft,Yes,$928,R2597646,,Residential,1985,,"3271 Broadway St, Richmond, BC",2,5,0,29/06/2021,"$2,298,000",06/07/2021,"$2,340,000"
120,Townhouse,,1391 sqft,Yes,$710,R2518870,,Residential,2024,,"12 - 10333 River Dr, Richmond, BC",2,3,2,18/11/2020,"$987,900",10/07/2021,"$963,900"
121,Townhouse,"$4,771",2057 sqft,Yes,$748,R2598415,,Residential,2017,,"53 - 10388 No. 2 Rd, Richmond, BC",4,4,2,04/07/2021,"$1,539,000",10/07/2021,"$1,520,000"
122,Single Family Residence,"$4,857",2508 sqft,Yes,$598,R2562770,,Residential,1990,,"9520 Capstan Way, Richmond, BC",3,4,4,29/03/2021,"$1,500,000",09/07/2021,"$1,460,000"
123,Townhouse,"$2,254",1245 sqft,Yes,$649,R2584304,,Residential,2005,,"17 - 6300 London Rd, Richmond, BC",2,2,2,24/05/2021,"$809,000",10/07/2021,"$796,000"
124,Apartment/Condominium,"$1,841",894 sqft,Yes,$670,R2591485,,Residential,1999,,"505 - 7080 St. Albans Rd, Richmond, BC",2,2,1,09/06/2021,"$599,800",09/07/2021,"$592,500"
125,Apartment/Condominium,"$1,960",862 sqft,Yes,$764,R2586545,,Residential,2011,,"121 - 9500 Odlin Rd, Richmond, BC",2,2,2,27/05/2021,"$659,000",09/07/2021,"$659,000"
126,Single Family Residence,"$5,861",3639 sqft,No,$666,R2852938,,Residential,1993,,"6560 Williams Rd, Richmond, BC",4,7,0,21/02/2024,"$2,425,000",-,Not Sold Yet
127,Single Family Residence,"$9,865",3873 sqft,Yes,$945,R2568503,,Residential,2011,,"7900 Sunnymede Cres, Richmond, BC",5,5,0,14/04/2021,"$3,660,000",09/07/2021,"$3,400,000"
128,Apartment/Condominium,,1130 sqft,Yes,$760,R2595734,,Residential,2021,,"114 - 9213 Odlin Rd, Richmond, BC",2,3,1,19/06/2021,"$859,900",11/07/2021,"$859,900"
129,Apartment/Condominium,,795 sqft,Yes,$811,R2601326,,Residential,2021,,"210 - 9213 Odlin Rd, Richmond, BC",1,2,1,08/07/2021,"$644,900",11/07/2021,"$644,900"
130,Apartment/Condominium,"$1,026",648 sqft,Yes,$820,R2516581,,Residential,2020,,"333 - 4033 May Dr, Richmond, BC",1,1,1,09/11/2020,"$532,000",11/07/2021,"$538,000"
131,Townhouse,,1436 sqft,Yes,$897,R2601897,,Residential,2021,,"45 - 9211 Mckim Way, Richmond, BC",2,3,2,11/07/2021,"$1,289,000",12/07/2021,"$1,289,000"
132,Single Family Residence,"$4,745",1909 sqft,No,"$1,270",R2852950,,Residential,1966,,"6580 Williams Rd, Richmond, BC",2,3,0,21/02/2024,"$2,425,000",-,Not Sold Yet
133,Apartment/Condominium,"$1,570",710 sqft,Yes,$746,R2598666,,Residential,2002,,"424 - 5700 Andrews Rd, Richmond, BC",1,1,1,04/07/2021,"$529,900",11/07/2021,"$538,000"
134,Apartment/Condominium,"$1,682",904 sqft,Yes,$662,R2599911,,Residential,1996,,"323 - 8100 Jones Rd, Richmond, BC",2,2,1,06/07/2021,"$599,000",12/07/2021,"$640,000"
135,Apartment/Condominium,"$1,650",849 sqft,Yes,$572,R2598295,,Residential,1995,,"205 - 8180 Jones Rd, Richmond, BC",1,1,2,30/06/2021,"$486,000",12/07/2021,"$463,000"
136,Apartment/Condominium,"$1,142",634 sqft,Yes,$575,R2593374,,Residential,1987,,"307 - 7591 Moffatt Rd, Richmond, BC",1,1,1,15/06/2021,"$365,000",12/07/2021,"$365,000"
137,Townhouse,"$1,934",1248 sqft,No,$640,R2598961,,Residential,1976,,"11 - 3851 Blundell Rd, Richmond, BC",1,3,2,05/07/2021,"$799,000",12/07/2021,"$856,000"
138,Single Family Residence,"$6,997",3101 sqft,Yes,$870,R2874351,,Residential,2012,,"4840 Pembroke Pl, Richmond, BC",5,5,5,16/04/2024,"$2,699,000",-,-
