,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
462,Apartment/Condominium,"$2,275",807 sqft,Yes,$693,R2602154,,Residential,2019,,"322 - 14968 101 A Ave, Surrey, BC",1,2,2,14/07/2021,"$560,000",18/07/2021,"$580,000"
463,Townhouse,"$2,292",1089 sqft,Yes,$550,R2601079,,Residential,2019,,"85 - 17555 57a Ave, Surrey, BC",2,2,2,11/07/2021,"$599,000",18/07/2021,"$632,800"
464,Apartment/Condominium,,515 sqft,Yes,$999,R2874085,,Residential,2016,,"3808 - 13750 100 Ave, Surrey, BC",1,1,1,22/04/2024,"$514,999",-,-
465,Townhouse,"$2,763",1289 sqft,Yes,$557,R2601717,,Residential,2009,,"167 - 2450 161a St, Surrey, BC",2,3,2,13/07/2021,"$719,000",18/07/2021,"$708,000"
466,Multi Family,"$2,943",1610 sqft,No,$806,R2646393,,Residential,1980,,"2223 153 St, Surrey, BC",2,3,8,24/01/2022,"$1,298,800",25/01/2022,"$1,350,000"
467,Single Family Residence,"$5,306",2986 sqft,Yes,$468,R2601706,,Residential,2007,,"6696 193a St, Surrey, BC",4,6,3,13/07/2021,"$1,398,000",18/07/2021,"$1,450,000"
468,Apartment/Condominium,"$1,957",1200 sqft,Yes,$362,R2601833,,Residential,2005,,"401 - 16068 83 Ave, Surrey, BC",2,2,1,13/07/2021,"$435,000",18/07/2021,"$435,000"
469,Apartment/Condominium,"$1,267",516 sqft,Yes,$658,R2601458,,Residential,2007,,"302 - 10455 University Dr, Surrey, BC",1,1,1,12/07/2021,"$339,900",18/07/2021,"$365,000"
470,Townhouse,"$3,796",2613 sqft,Yes,$401,R2600965,,Residential,2019,,"84 - 15665 Mountain View Dr, Surrey, BC",3,4,4,11/07/2021,"$1,050,000",18/07/2021,"$1,175,000"
471,Apartment/Condominium,"$1,668",789 sqft,Yes,$631,R2601753,,Residential,2010,,"416 - 17769 57 Ave, Surrey, BC",2,2,2,13/07/2021,"$498,000",18/07/2021,"$490,000"
472,Single Family Residence,"$5,330",4077 sqft,Yes,$404,R2574420,,Residential,1999,,"12645 67 B Ave, Surrey, BC",5,8,9,03/05/2021,"$1,649,900",18/07/2021,"$1,650,000"
473,Townhouse,,1527 sqft,Yes,$540,R2594320,,Residential,2021,,"23 - 13629 81 A Ave, Surrey, BC",3,4,2,15/06/2021,"$825,000",18/07/2021,"$817,000"
474,Townhouse,"$2,839",1474 sqft,Yes,$542,R2905020,,Residential,2014,,"25 - 6350 142 St, Surrey, BC",2,3,2,08/07/2024,"$799,999",-,Not Sold Yet
475,Apartment/Condominium,"$2,221",1797 sqft,Yes,$381,R2600643,,Residential,1986,,"302 - 15270 17 Ave, Surrey, BC",2,2,2,09/07/2021,"$685,000",18/07/2021,"$771,000"
476,Single Family Residence,"$3,573",2113 sqft,No,$473,R2600084,,Residential,1973,,"9200 Prince Charles Blvd, Surrey, BC",4,5,7,14/07/2021,"$999,999",18/07/2021,"$1,320,000"
477,Single Family Residence,"$5,413",4059 sqft,Yes,$381,R2596594,,Residential,2012,,"6287 148a St, Surrey, BC",5,7,6,24/06/2021,"$1,549,900",18/07/2021,"$1,549,000"
478,Single Family Residence,"$6,798",3887 sqft,Yes,$462,R2863249,,Residential,2000,,"7546 Wiltshire Dr, Surrey, BC",3,8,6,26/03/2024,"$1,799,000",-,Not Sold Yet
479,Single Family Residence,"$4,275",2675 sqft,Yes,$537,R2601174,,Residential,1993,,"10776 165 St, Surrey, BC",2,4,2,09/07/2021,"$1,438,800",18/07/2021,"$1,410,000"
480,Single Family Residence,"$5,119",3445 sqft,Yes,$428,R2596698,,Residential,1998,,"6326 125a St, Surrey, BC",6,8,6,23/06/2021,"$1,475,000",19/07/2021,"$1,465,000"
481,Single Family Residence,"$6,519",5811 sqft,Yes,$430,R2599433,,Residential,1997,,"11293 162a St, Surrey, BC",5,6,8,04/07/2021,"$2,499,999",19/07/2021,"$2,346,000"
482,Apartment/Condominium,,574 sqft,Yes,$714,R2579952,,Residential,2021,,"305 - 10838 Whalley Blvd, Surrey, BC",1,1,1,10/05/2021,"$409,900",19/07/2021,"$405,000"
483,Single Family Residence,$703,1785 sqft,No,"$1,568",R2619455,,Residential,9999,,"18045 80 Ave, Surrey, BC",1,3,0,19/09/2021,"$2,799,000",29/09/2021,"$2,500,000"
484,Townhouse,"$2,156",1151 sqft,Yes,$508,R2600164,,Residential,2007,,"155 - 16177 83 Ave, Surrey, BC",1,2,2,07/07/2021,"$585,000",19/07/2021,"$575,000"
485,Single Family Residence,,3727 sqft,Yes,$469,R2603116,,Residential,2007,,"3593 Rosemary Heights Dr, Surrey, BC",4,6,4,11/07/2021,"$1,749,800",19/07/2021,"$1,808,800"
486,Single Family Residence,"$4,494",4374 sqft,Yes,$422,R2559299,,Residential,2015,,"15571 104 Ave, Surrey, BC",6,7,2,30/03/2021,"$1,849,000",19/07/2021,"$1,760,000"
487,Townhouse,"$2,781",1333 sqft,Yes,$561,R2601392,,Residential,2018,,"92 - 15268 28 Ave, Surrey, BC",2,3,2,11/07/2021,"$749,000",19/07/2021,"$751,000"
488,Apartment/Condominium,"$1,480",724 sqft,Yes,$545,R2598320,,Residential,1994,,"212 - 14377 103 Ave, Surrey, BC",1,2,1,29/06/2021,"$395,000",20/07/2021,"$386,000"
489,Townhouse,"$2,664",1454 sqft,Yes,$480,R2596697,,Residential,2014,,"91 - 15399 Guildford Dr, Surrey, BC",2,3,2,24/06/2021,"$699,000",20/07/2021,"$695,000"
490,Townhouse,,1676 sqft,Yes,$575,R2601373,,Residential,2021,,"5 - 16589 25 Ave, Surrey, BC",2,3,2,10/07/2021,"$965,000",19/07/2021,"$971,900"
491,Townhouse,"$3,397",1743 sqft,Yes,$527,R2602565,,Residential,1995,,"24 - 14888 24 Ave, Surrey, BC",2,2,2,15/07/2021,"$919,900",20/07/2021,"$1,049,000"
492,Townhouse,,1652 sqft,No,$453,R2600755,,Residential,2012,,"52 - 15788 104 Ave, Surrey, BC",2,4,2,11/07/2021,"$749,000",19/07/2021,"$823,000"
493,Apartment/Condominium,"$1,448",751 sqft,Yes,$472,R2601865,,Residential,1995,,"325 - 8068 120a St, Surrey, BC",1,1,1,13/07/2021,"$354,900",19/07/2021,"$360,500"
494,Townhouse,"$2,881",1735 sqft,Yes,$495,R2596106,,Residential,2013,,"6867 195a St, Surrey, BC",2,4,3,23/06/2021,"$859,900",20/07/2021,"$848,000"
495,Townhouse,"$2,525",1529 sqft,No,$521,R2600409,,Residential,2013,,"2 - 3399 151 St, Surrey, BC",3,4,2,06/07/2021,"$798,000",19/07/2021,"$840,000"
496,Townhouse,"$2,702",1479 sqft,No,$438,R2600688,,Residential,2005,,"30 - 12730 66 Ave, Surrey, BC",2,3,2,10/07/2021,"$649,000",20/07/2021,"$673,000"
497,Manufactured Home,$345,720 sqft,No,$210,R2593825,,Residential,1974,,"160 - 7790 King George Blvd, Surrey, BC",1,2,3,16/06/2021,"$151,900",20/07/2021,"$145,000"
498,Townhouse,"$2,403",1428 sqft,Yes,$594,R2758295,,Residential,2014,,"27 - 13864 Hyland Rd, Surrey, BC",2,3,2,07/03/2023,"$849,000",10/05/2023,"$865,000"
499,Townhouse,"$1,917",960 sqft,No,$593,R2765246,,Residential,1983,,"701 - 13935 72 Ave, Surrey, BC",1,2,1,05/04/2023,"$569,900",16/04/2023,"$603,000"
