,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
98,Apartment/Condominium,"$1,559",1144 sqft,Yes,$393,R2602778,,Residential,1986,,"603 - 11881 88 Ave, Delta, BC",1,2,1,20/07/2021,"$449,999",25/07/2021,"$446,500"
99,Single Family Residence,"$3,688",2245 sqft,No,$489,R2603872,,Residential,1973,,"5609 Dove Pl, Delta, BC",2,4,3,20/07/2021,"$1,098,000",25/07/2021,"$1,356,000"
100,Apartment/Condominium,"$2,880",1322 sqft,Yes,$528,R2603008,,Residential,2003,,"307 - 1175 55 St, Delta, BC",2,2,2,18/07/2021,"$699,000",25/07/2021,"$690,000"
101,Single Family Residence,"$10,523",2662 sqft,No,"$1,389",R2604404,,Residential,1935,,"456 Tsawwassen Beach Rd, Delta, BC",3,2,11,22/07/2021,"$3,698,800",24/07/2021,"$3,698,800"
102,Single Family Residence,"$3,754",2156 sqft,Yes,$533,R2594865,,Residential,1978,,"11776 81a Ave, Delta, BC",2,4,6,20/06/2021,"$1,150,000",24/07/2021,"$1,145,000"
103,Single Family Residence,"$4,078",3350 sqft,Yes,$397,R2594333,,Residential,1987,,"7510 Barrymore Dr, Delta, BC",3,4,4,17/06/2021,"$1,330,000",25/07/2021,"$1,300,000"
104,Single Family Residence,"$3,558",2646 sqft,Yes,$449,R2599726,,Residential,1961,,"1493 54 St, Delta, BC",2,4,5,05/07/2021,"$1,190,000",30/07/2021,"$1,230,000"
105,Single Family Residence,"$5,673",2928 sqft,Yes,$644,R2605090,,Residential,1969,,"6479 Cabeldu Cres, Delta, BC",3,4,6,27/07/2021,"$1,888,000",29/07/2021,"$1,800,000"
106,Single Family Residence,"$3,463",1377 sqft,No,$798,R2598163,,Residential,1981,,"11821 80a Ave, Delta, BC",2,3,3,29/06/2021,"$1,099,000",28/07/2021,"$1,095,000"
107,Single Family Residence,"$4,153",2801 sqft,Yes,$535,R2600512,,Residential,1987,,"4734 54 St, Delta, BC",2,5,6,07/07/2021,"$1,499,000",29/07/2021,"$1,463,800"
108,Single Family Residence,"$7,756",4047 sqft,Yes,$659,R2898380,,Residential,2005,,"5085 1 Ave, Delta, BC",3,5,8,23/06/2024,"$2,670,000",-,Not Sold Yet
109,Single Family Residence,"$5,163",2818 sqft,Yes,$707,R2597828,,Residential,2015,,"1682 Braid Rd, Delta, BC",2,4,2,29/06/2021,"$1,995,000",28/07/2021,"$1,950,000"
110,Single Family Residence,"$3,994",2642 sqft,Yes,$529,R2789529,,Residential,1964,,"9251 114 St, Delta, BC",4,5,6,18/06/2023,"$1,399,999",05/07/2023,"$1,425,000"
111,Apartment/Condominium,"$2,312",1015 sqft,Yes,$527,R2593146,,Residential,2019,,"207 - 9015 120 St, Delta, BC",2,2,1,13/06/2021,"$535,000",28/07/2021,"$521,000"
112,Single Family Residence,"$4,302",2992 sqft,No,$430,R2597264,,Residential,1969,,"1132 Walalee Dr, Delta, BC",3,4,0,28/06/2021,"$1,289,000",04/08/2021,"$1,255,000"
113,Single Family Residence,"$6,526",5447 sqft,Yes,$440,R2559488,,Residential,2014,,"941 50 St, Delta, BC",6,6,4,30/03/2021,"$2,399,000",04/08/2021,"$2,225,000"
114,Apartment/Condominium,"$2,361",1350 sqft,Yes,$517,R2607071,,Residential,2003,,"106 - 1175 55 St, Delta, BC",2,2,1,02/08/2021,"$699,000",05/08/2021,"$690,000"
115,Townhouse,"$1,977",1278 sqft,No,$618,R2725540,,Residential,1998,,"17 - 4787 57 St, Delta, BC",3,3,2,20/09/2022,"$789,900",17/10/2022,"$758,000"
116,Single Family Residence,"$4,567",2619 sqft,Yes,$682,R2599397,,Residential,1991,,"897 51 St, Delta, BC",2,4,6,05/07/2021,"$1,788,000",06/08/2021,"$1,725,000"
117,Single Family Residence,"$3,532",2188 sqft,Yes,$523,R2603807,,Residential,1973,,"10332 Johnson Wynd, Delta, BC",2,4,3,20/07/2021,"$1,145,000",05/08/2021,"$1,122,500"
118,Apartment/Condominium,,889 sqft,Yes,$712,R2592700,,Residential,2021,,"201 - 4518 51 St, Delta, BC",1,2,1,13/06/2021,"$633,000",05/08/2021,"$633,000"
119,Single Family Residence,"$3,944",3380 sqft,No,$345,R2592768,,Residential,1986,,"9005 James Pl, Delta, BC",3,4,6,14/06/2021,"$1,168,000",04/08/2021,"$1,146,000"
