mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice
R2699140,691250.0,2.0,2.0,"6745 Station Hill Crt, Burnaby, BC, Canada",1066.0,2.0,1899.0,646.0,1994.0,Condo,21/06/2022,2022-06-10,689000.0
R2690178,3050000.0,7.0,5.0,"3717 Phillips Ave, Burnaby, BC, Canada",5453.0,5.0,6939.0,604.0,2006.0,SingleFamily,21/06/2022,2022-05-17,3298000.0
R2689237,2457500.0,6.0,4.0,"8554 Karrman Ave, Burnaby, BC, Canada",3622.0,4.0,6188.0,704.0,2010.0,SingleFamily,21/06/2022,2022-05-15,2550000.0
R2701466,575000.0,1.0,1.0,"5588 Patterson Ave, Burnaby, BC, Canada",612.0,1.0,1444.0,898.0,2008.0,Townhouse,21/06/2022,2022-06-19,549900.0
R2701275,878000.0,2.0,2.0,"1888 Gilmore Ave, Burnaby, BC, Canada",865.0,1.0,2423.0,1017.0,2020.0,Condo,21/06/2022,2022-06-16,880000.0
R2689610,860000.0,3.0,3.0,"8850 University Cres, Burnaby, BC, Canada",1274.0,2.0,2342.0,721.0,2019.0,Townhouse,21/06/2022,2022-05-16,919000.0
R2679990,585000.0,2.0,2.0,"9080 University Cres, Burnaby, BC, Canada",802.0,0.0,1519.0,745.0,2015.0,Condo,21/06/2022,2022-04-21,598000.0
R2701439,710000.0,2.0,2.0,"6659 Southoaks Cres, Burnaby, BC, Canada",922.0,1.0,1702.0,791.0,2003.0,Condo,25/06/2022,2022-06-19,729900.0
R2695094,770000.0,2.0,2.0,"2138 Madison Ave, Burnaby, BC, Canada",964.0,1.0,2206.0,807.0,2005.0,Condo,25/06/2022,2022-05-31,778000.0
R2700107,710000.0,2.0,2.0,"5790 Patterson Ave, Burnaby, BC, Canada",1052.0,1.0,1923.0,711.0,1986.0,Condo,25/06/2022,2022-06-12,748000.0
R2702735,775000.0,2.0,2.0,"6128 Patterson Ave, Burnaby, BC, Canada",1125.0,2.0,2358.0,665.0,1992.0,Condo,25/06/2022,2022-06-21,749000.0
R2695897,1300000.0,5.0,2.0,"7749 Patterson Ave, Burnaby, BC, Canada",2080.0,4.0,4299.0,673.0,1951.0,SingleFamily,25/06/2022,2022-06-01,1399888.0
R2702432,475000.0,1.0,1.0,"3920 Hastings St, Burnaby, BC, Canada",738.0,1.0,1353.0,643.0,1986.0,Condo,25/06/2022,2022-06-20,475000.0
R2701005,848000.0,2.0,2.0,"6688 Arcola St, Burnaby, BC, Canada",926.0,2.0,2347.0,948.0,2011.0,Condo,25/06/2022,2022-06-15,878000.0
R2701685,708800.0,3.0,2.0,"5848 Olive Ave, Burnaby, BC, Canada",1151.0,2.0,2157.0,729.0,1999.0,Condo,27/06/2022,2022-06-19,840000.0
R2692715,1099888.0,2.0,2.0,"4360 Beresford St, Burnaby, BC, Canada",1084.0,1.0,3573.0,1069.0,2017.0,Condo,27/06/2022,2022-05-24,1159000.0
R2701515,642000.0,1.0,1.0,"7358 Edmonds St, Burnaby, BC, Canada",588.0,1.0,1718.0,1062.0,2020.0,Condo,27/06/2022,2022-06-18,625000.0
R2701858,1750000.0,4.0,3.0,"4839 Harken Dr, Burnaby, BC, Canada",2990.0,6.0,5852.0,632.0,1975.0,SingleFamily,27/06/2022,2022-06-19,1890000.0
R2697465,2368000.0,6.0,3.0,"7305 Queenston Crt, Burnaby, BC, Canada",4866.0,4.0,6581.0,513.0,1987.0,SingleFamily,27/06/2022,2022-06-06,2498000.0
R2702114,493000.0,1.0,1.0,"4300 Mayberry St, Burnaby, BC, Canada",694.0,1.0,1287.0,648.0,1976.0,Condo,27/06/2022,2022-06-20,449900.0
R2702395,648500.0,2.0,2.0,"8940 University Cres, Burnaby, BC, Canada",878.0,0.0,1825.0,751.0,2021.0,Condo,27/06/2022,2022-06-19,659900.0
R2697760,1476190.0,6.0,3.0,"5071 Manor St, Burnaby, BC, Canada",2515.0,4.0,4325.0,596.0,2022.0,MultiFamily,29/06/2022,2022-06-07,1499000.0
R2665834,1580000.0,3.0,1.0,"3347 Lakedale Ave, Burnaby, BC, Canada",1838.0,3.0,4886.0,914.0,1971.0,SingleFamily,29/06/2022,2022-03-15,1680000.0
R2703119,678000.0,1.0,1.0,"2378 Alpha Ave, Burnaby, BC, Canada",564.0,1.0,1581.0,1196.0,2018.0,Condo,29/06/2022,2022-06-22,675000.0
R2702954,2975000.0,7.0,6.0,"3830 Union St, Burnaby, BC, Canada",3477.0,3.0,4341.0,862.0,2022.0,SingleFamily,30/06/2022,2022-06-20,2998000.0
R2698083,588000.0,1.0,1.0,"6968 Royal Oak Ave, Burnaby, BC, Canada",638.0,0.0,1631.0,938.0,2021.0,Condo,03/07/2022,2022-06-07,599000.0
R2702608,499900.0,1.0,1.0,"6588 Southoaks Cres, Burnaby, BC, Canada",617.0,1.0,1189.0,810.0,1997.0,Townhouse,02/07/2022,2022-06-20,499900.0
