mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice
R2789208,1560000.0,6.0,3.0,"11937 Carriage Pl, Delta, BC, Canada",4024.0,6.0,4411.0,387.0,1987.0,SingleFamily,17/06/2023,2023-06-14,1560000.0
R2775793,825000.0,3.0,2.0,"6960 Nicholson Rd, Delta, BC, Canada",1027.0,0.0,2033.0,803.0,2022.0,Condo,17/06/2023,2023-05-09,825000.0
R2771906,3100000.0,4.0,2.0,"11248 82a Ave, Delta, BC, Canada",2537.0,6.0,5544.0,1576.0,1972.0,SingleFamily,17/06/2023,2023-04-30,3999900.0
R2785381,873000.0,3.0,2.0,"8385 Delsom Way, Delta, BC, Canada",1409.0,2.0,2421.0,624.0,2009.0,Townhouse,17/06/2023,2023-06-05,880000.0
R2790831,1300000.0,4.0,2.0,"10911 63 Ave, Delta, BC, Canada",2032.0,4.0,3818.0,639.0,1981.0,SingleFamily,17/06/2023,2023-06-17,1300000.0
R2785400,582000.0,1.0,1.0,"4977 Springs Blvd, Delta, BC, Canada",630.0,1.0,1678.0,942.0,2019.0,Condo,16/06/2023,2023-06-05,594000.0
R2789046,1250000.0,2.0,1.0,"10976 Mcadam Rd, Delta, BC, Canada",1390.0,4.0,3999.0,862.0,1954.0,SingleFamily,16/06/2023,2023-06-14,1198888.0
R2774474,2475000.0,4.0,5.0,"5190 Whitworth Cres S, Delta, BC, Canada",3698.0,2.0,3986.0,662.0,2023.0,SingleFamily,16/06/2023,2023-05-01,2449900.0
R2780919,1385000.0,5.0,2.0,"11794 74 Ave, Delta, BC, Canada",2008.0,5.0,4230.0,696.0,1984.0,SingleFamily,15/06/2023,2023-06-04,1399000.0
R2779394,1485000.0,4.0,2.0,"5655 10 Ave, Delta, BC, Canada",2184.0,8.0,4499.0,686.0,1965.0,SingleFamily,14/06/2023,2023-05-17,1499000.0
R2787673,1258000.0,4.0,3.0,"5510 Admiral Way, Delta, BC, Canada",1919.0,3.0,3822.0,655.0,2016.0,Townhouse,14/06/2023,2023-06-11,1258000.0
R2752174,485000.0,2.0,1.0,"8635 120St, Delta, BC, Canada",900.0,1.0,1268.0,555.0,1975.0,Condo,13/06/2023,2023-02-12,499900.0
R2783244,1438000.0,6.0,3.0,"5626 9a Ave, Delta, BC, Canada",2832.0,6.0,4848.0,536.0,1961.0,SingleFamily,13/06/2023,2023-05-29,1518000.0
R2777065,1500000.0,3.0,3.0,"8802 Delwood Dr, Delta, BC, Canada",2179.0,6.0,3990.0,710.0,1974.0,SingleFamily,12/06/2023,2023-05-14,1549000.0
R2785036,1402000.0,4.0,2.0,"721 Underhill Dr, Delta, BC, Canada",2485.0,6.0,4684.0,562.0,1971.0,SingleFamily,12/06/2023,2023-06-04,1399000.0
R2787043,1968000.0,4.0,3.0,"4980 Cedar Springs Dr, Delta, BC, Canada",2260.0,4.0,5849.0,879.0,2017.0,SingleFamily,11/06/2023,2023-06-08,1988000.0
R2784728,1605000.0,3.0,2.0,"5459 49a Ave, Delta, BC, Canada",1863.0,4.0,4112.0,858.0,1982.0,SingleFamily,11/06/2023,2023-06-04,1599000.0
R2785242,1200000.0,3.0,2.0,"10316 Johnson Wynd, Delta, BC, Canada",2010.0,2.0,3917.0,596.0,1972.0,SingleFamily,11/06/2023,2023-06-04,1198000.0
R2785619,1475000.0,3.0,2.0,"5451 Grove Ave, Delta, BC, Canada",2070.0,4.0,4647.0,673.0,1988.0,SingleFamily,11/06/2023,2023-06-05,1395000.0
R2784960,650000.0,2.0,2.0,"4768 53St, Delta, BC, Canada",1002.0,1.0,1615.0,618.0,1995.0,Condo,11/06/2023,2023-06-04,619900.0
R2785663,755000.0,2.0,2.0,"11501 84 Ave, Delta, BC, Canada",1203.0,2.0,2272.0,622.0,2020.0,Condo,11/06/2023,2023-06-05,748888.0
R2785661,815000.0,2.0,2.0,"1150 54a St, Delta, BC, Canada",1370.0,1.0,1784.0,575.0,1987.0,Condo,11/06/2023,2023-06-05,788000.0
R2785737,1525000.0,5.0,2.0,"7656 115a St, Delta, BC, Canada",2378.0,4.0,4282.0,588.0,1972.0,SingleFamily,11/06/2023,2023-06-05,1399000.0
R2785002,1350000.0,5.0,2.0,"8336 118St, Delta, BC, Canada",2179.0,3.0,3752.0,596.0,1970.0,SingleFamily,11/06/2023,2023-06-04,1299999.0
R2785971,1700000.0,3.0,2.0,"5328 Galleon Pl, Delta, BC, Canada",2276.0,4.0,4441.0,746.0,1994.0,SingleFamily,11/06/2023,2023-06-07,1699900.0
R2746170,1780000.0,4.0,5.0,"4952 Willow Springs Ave, Delta, BC, Canada",2900.0,4.0,5581.0,654.0,2019.0,SingleFamily,10/06/2023,2023-01-15,1898000.0
R2786170,720000.0,3.0,1.0,"11650 96 Ave, Delta, BC, Canada",1607.0,1.0,1882.0,434.0,1972.0,Townhouse,10/06/2023,2023-06-07,699000.0
R2785069,515000.0,2.0,1.0,"11881 88 Ave, Delta, BC, Canada",1139.0,1.0,1475.0,438.0,1986.0,Condo,09/06/2023,2023-06-04,499900.0
R2778068,1765000.0,3.0,3.0,"1635 Maple Springs Lane, Delta, BC, Canada",2175.0,4.0,4950.0,827.0,2017.0,SingleFamily,09/06/2023,2023-05-15,1800000.0
R2783418,1485000.0,3.0,2.0,"6847 Ryall Cres, Delta, BC, Canada",1801.0,6.0,4895.0,860.0,1973.0,SingleFamily,09/06/2023,2023-05-29,1549000.0
R2782731,620000.0,2.0,2.0,"1428 56St, Delta, BC, Canada",1044.0,2.0,1617.0,602.0,1994.0,Condo,07/06/2023,2023-05-29,629000.0
R2780066,1510000.0,3.0,2.0,"5089 Westminster Ave, Delta, BC, Canada",2364.0,6.0,4396.0,634.0,1969.0,SingleFamily,07/06/2023,2023-05-21,1499000.0
R2772280,1360000.0,4.0,2.0,"5260 Ferry Rd, Delta, BC, Canada",1816.0,4.0,4369.0,764.0,1992.0,SingleFamily,07/06/2023,2023-04-27,1389000.0
R2763053,1600000.0,4.0,2.0,"5046 Linden Dr, Delta, BC, Canada",2454.0,5.0,4263.0,672.0,1969.0,SingleFamily,06/06/2023,2023-03-27,1650000.0
R2781952,1810000.0,6.0,3.0,"11045 Lincoln Dr, Delta, BC, Canada",3157.0,7.0,5511.0,595.0,1972.0,SingleFamily,06/06/2023,2023-05-28,1880000.0
R2781578,2354000.0,5.0,4.0,"35 53St, Delta, BC, Canada",3057.0,6.0,4264.0,811.0,2023.0,SingleFamily,06/06/2023,2023-05-23,2479888.0
R2780403,841000.0,2.0,2.0,"3871 River Rd W, Delta, BC, Canada",2157.0,2.0,1825.0,402.0,2004.0,SingleFamily,05/06/2023,2023-05-22,869000.0
R2758525,1600000.0,4.0,1.0,"11834 87 Ave, Delta, BC, Canada",2100.0,0.0,4396.0,797.0,1960.0,SingleFamily,05/06/2023,2023-03-02,1675000.0
R2783204,1311000.0,4.0,2.0,"11232 Glenbrook Pl, Delta, BC, Canada",1665.0,3.0,4006.0,780.0,1977.0,SingleFamily,05/06/2023,2023-05-31,1299000.0
R2782885,1560000.0,3.0,2.0,"4918 Cedar Cres, Delta, BC, Canada",2105.0,4.0,4346.0,617.0,1969.0,SingleFamily,05/06/2023,2023-05-29,1299000.0
R2779288,1600000.0,5.0,2.0,"7273 111a St, Delta, BC, Canada",2205.0,5.0,4799.0,634.0,1970.0,SingleFamily,05/06/2023,2023-05-17,1399000.0
R2782434,1355000.0,4.0,2.0,"5627 52 Ave, Delta, BC, Canada",2470.0,4.0,4002.0,526.0,1978.0,SingleFamily,05/06/2023,2023-05-28,1299900.0
R2783246,1325000.0,4.0,2.0,"8904 116St, Delta, BC, Canada",2281.0,4.0,3875.0,613.0,1970.0,SingleFamily,05/06/2023,2023-05-30,1399000.0
