mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice,lat,lon,addressDetails
R2904566,1,1,"516 Foster Ave, Coquitlam, BC, Canada",731.0,0,1864.0,913.0,2018.0,Condo,09/07/2024,668000.0,49.256414899999996,-122.89149195490103,"Nelson on Foster, 516, Foster Avenue, Cariboo, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 2L5, Canada"
R2903611,4,4,"3379 Scotch Pine Ave, Coquitlam, BC, Canada",4367.0,4,8035.0,592.0,2011.0,SingleFamily,08/07/2024,2588000.0,49.3041595,-122.7577794,"Scotch Pine Avenue, Coquitlam, Metro Vancouver Regional District, British Columbia, V3E 3H3, Canada"
R2904195,3,2,"645 Como Lake Ave, Coquitlam, BC, Canada",1101.0,2,2311.0,851.0,2023.0,Condo,09/07/2024,938000.0,49.2632878,-122.8287051,"Como Lake Avenue, Chineside, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 3C5, Canada"
R2904323,1,1,"520 Como Lake Ave, Coquitlam, BC, Canada",603.0,1,1818.0,1027.0,2017.0,Condo,09/07/2024,619800.0,49.2625613,-122.89068123904494,"Crown, 520, Como Lake Avenue, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 0L1, Canada"
R2905004,3,2,"551 Austin Ave, Coquitlam, BC, Canada",1265.0,1,2072.0,678.0,1991.0,Condo,09/07/2024,858000.0,49.2494183,-122.88910035,"Brookmere Towers 2, 551, Austin Avenue, Cariboo, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 6R7, Canada"
R2904452,4,2,"2285 Gale Ave, Coquitlam, BC, Canada",2067.0,4,4700.0,821.0,1987.0,SingleFamily,08/07/2024,1699000.0,49.2443784,-122.8314481,"Gale Avenue, Dartmoor, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 3S1, Canada"
R2903713,3,3,"548 Foster Ave, Coquitlam, BC, Canada",1253.0,0,3189.0,877.0,2015.0,Townhouse,08/07/2024,1100000.0,49.25626935,-122.8879452237721,"548, Foster Avenue, Cariboo, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 2L5, Canada"
R2903823,2,2,"511 Rochester Ave, Coquitlam, BC, Canada",982.0,1,2380.0,702.0,2007.0,Condo,08/07/2024,689999.0,49.2460988,-122.89068832413386,"Encore Lifestyle Residences, 511, Rochester Avenue, Cariboo, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 2V5, Canada"
R2904110,8,5,"963 Laurel Crt, Coquitlam, BC, Canada",4776.0,4,4993.0,471.0,2006.0,SingleFamily,08/07/2024,2250000.0,49.2685485,-122.8005067,"Laurel Court, Ranch Park, Coquitlam, Metro Vancouver Regional District, British Columbia, V3C 3M3, Canada"
R2904088,7,4,"2579 Sapphire Pl, Coquitlam, BC, Canada",4338.0,4,5170.0,529.0,1996.0,SingleFamily,08/07/2024,2299000.0,49.3018401,-122.8200203,"Sapphire Place, Westwood Plateau, Coquitlam, Metro Vancouver Regional District, British Columbia, V3E 2Y6, Canada"
